canonical_tag,anchor_year,km_bucket,price_low,price_mid,price_high
toyota_corolla_ascent_petrol_auto_hatch_zre18x,2015,200000,11200,12200,13200
toyota_corolla_ascent_petrol_auto_hatch_zre18x,2017,30000,20100,21800,23500
toyota_corolla_ascent_petrol_auto_hatch_zre18x,2017,60000,19200,20900,22600
toyota_corolla_ascent_petrol_auto_hatch_zre18x,2017,100000,17700,19300,20900
toyota_corolla_ascent_petrol_auto_hatch_zre18x,2017,150000,16300,17800,19300
toyota_corolla_ascent_petrol_auto_hatch_zre18x,2017,200000,14900,16200,17500
toyota_corolla_ascent_petrol_auto_hatch_zre18x,2018,30000,20700,22500,24300
toyota_corolla_ascent_petrol_auto_hatch_zre18x,2018,60000,19600,21300,23000
toyota_corolla_ascent_petrol_auto_hatch_zre18x,2018,100000,18400,19900,21400
toyota_corolla_ascent_petrol_auto_hatch_zre18x,2018,150000,16900,18300,19700
toyota_corolla_ascent_petrol_auto_hatch_zre18x,2018,200000,15500,16800,18100
toyota_corolla_ascent_sport_petrol_auto_hatch_zre18x,2014,30000,16100,17500,18900
toyota_corolla_ascent_sport_petrol_auto_hatch_zre18x,2014,60000,15450,16800,18150
toyota_corolla_ascent_sport_petrol_auto_hatch_zre18x,2014,100000,14700,16000,17300
toyota_corolla_ascent_sport_petrol_auto_hatch_zre18x,2014,150000,14000,15240,16450
toyota_corolla_ascent_sport_petrol_auto_hatch_zre18x,2014,200000,13350,14500,15650
toyota_corolla_ascent_sport_petrol_auto_hatch_zre18x,2016,30000,21050,22900,24750
toyota_corolla_ascent_sport_petrol_auto_hatch_zre18x,2016,60000,18950,20600,22250
toyota_corolla_ascent_sport_petrol_auto_hatch_zre18x,2016,100000,16550,18000,19450
toyota_corolla_ascent_sport_petrol_auto_hatch_zre18x,2016,150000,16450,17870,19300
toyota_corolla_ascent_sport_petrol_auto_hatch_zre18x,2016,200000,14100,15320,16550
toyota_corolla_ascent_sport_petrol_auto_hatch_zre18x,2018,30000,20500,22300,24100
toyota_corolla_ascent_sport_petrol_auto_hatch_zre18x,2018,60000,19500,21200,22900
toyota_corolla_ascent_sport_petrol_auto_hatch_zre18x,2018,100000,19300,20980,22650
toyota_corolla_ascent_sport_petrol_auto_hatch_zre18x,2018,150000,17850,19419,21050
toyota_corolla_ascent_sport_petrol_auto_hatch_zre18x,2018,200000,16400,17800,19200
toyota_corolla_ascent_sport_petrol_auto_hatch_mzea12r,2019,30000,24400,26500,28600
toyota_corolla_ascent_sport_petrol_auto_hatch_mzea12r,2019,60000,23900,25990,28050
toyota_corolla_ascent_sport_petrol_auto_hatch_mzea12r,2019,100000,21150,23000,24850
toyota_corolla_ascent_sport_petrol_auto_hatch_mzea12r,2019,150000,19300,21000,22700
toyota_corolla_ascent_sport_petrol_auto_hatch_mzea12r,2019,200000,17950,19500,21050
toyota_corolla_ascent_sport_petrol_auto_hatch_mzea12r,2021,30000,25750,27990,30250
toyota_corolla_ascent_sport_petrol_auto_hatch_mzea12r,2021,60000,23800,25887,27950
toyota_corolla_ascent_sport_petrol_auto_hatch_mzea12r,2021,100000,22900,24880,26850
toyota_corolla_ascent_sport_petrol_auto_hatch_mzea12r,2021,150000,20700,22500,24300
toyota_corolla_ascent_sport_petrol_auto_hatch_mzea12r,2021,200000,18850,20500,22150
toyota_corolla_ascent_sport_petrol_auto_hatch_mzea12r,2024,30000,27600,29990,32400
toyota_corolla_ascent_sport_petrol_auto_hatch_mzea12r,2024,60000,26200,28500,30800
toyota_corolla_ascent_sport_petrol_auto_hatch_mzea12r,2024,100000,24400,26500,28600
toyota_corolla_ascent_sport_petrol_auto_hatch_mzea12r,2024,150000,22550,24500,26450
toyota_corolla_ascent_sport_petrol_auto_hatch_mzea12r,2024,200000,20700,22500,24300
toyota_corolla_ascent_sport_hybrid_auto_hatch_zwe211r,2020,30000,26200,28500,30800
toyota_corolla_ascent_sport_hybrid_auto_hatch_zwe211r,2020,60000,24850,27000,29150
toyota_corolla_ascent_sport_hybrid_auto_hatch_zwe211r,2020,100000,23000,25000,27000
toyota_corolla_ascent_sport_hybrid_auto_hatch_zwe211r,2020,150000,22550,24500,26450
toyota_corolla_ascent_sport_hybrid_auto_hatch_zwe211r,2020,200000,20700,22500,24300
toyota_corolla_ascent_sport_hybrid_auto_hatch_zwe211r,2021,30000,27500,29900,32300
toyota_corolla_ascent_sport_hybrid_auto_hatch_zwe211r,2021,60000,25750,28000,30250
toyota_corolla_ascent_sport_hybrid_auto_hatch_zwe211r,2021,100000,24750,26900,29050
toyota_corolla_ascent_sport_hybrid_auto_hatch_zwe211r,2021,150000,22050,24000,25950
toyota_corolla_ascent_sport_hybrid_auto_hatch_zwe211r,2021,200000,20250,22000,23750
toyota_corolla_ascent_sport_hybrid_auto_hatch_zwe211r,2022,30000,29250,31800,34350
toyota_corolla_ascent_sport_hybrid_auto_hatch_zwe211r,2022,60000,27500,29900,32300
toyota_corolla_ascent_sport_hybrid_auto_hatch_zwe211r,2022,100000,25750,27990,30250
toyota_corolla_ascent_sport_hybrid_auto_hatch_zwe211r,2022,150000,23450,25500,27550
toyota_corolla_ascent_sport_hybrid_auto_hatch_zwe211r,2022,200000,21600,23500,25400
toyota_corolla_ascent_sport_hybrid_auto_hatch_zwe219r,2024,30000,30800,33500,36200
toyota_corolla_ascent_sport_hybrid_auto_hatch_zwe219r,2024,60000,28050,30500,32950
toyota_corolla_ascent_sport_hybrid_auto_hatch_zwe219r,2024,100000,26200,28500,30800
toyota_corolla_ascent_sport_hybrid_auto_hatch_zwe219r,2024,150000,24400,26500,28600
toyota_corolla_ascent_sport_hybrid_auto_hatch_zwe219r,2024,200000,22550,24500,26450
toyota_corolla_ascent_sport_hybrid_auto_hatch_zwe219r,2025,30000,33850,36800,39750
toyota_corolla_ascent_sport_hybrid_auto_hatch_zwe219r,2025,60000,30800,33500,36200
toyota_corolla_ascent_sport_hybrid_auto_hatch_zwe219r,2025,100000,28500,31000,33500
toyota_corolla_ascent_sport_hybrid_auto_hatch_zwe219r,2025,150000,26700,29000,31300
toyota_corolla_ascent_sport_hybrid_auto_hatch_zwe219r,2025,200000,24850,27000,29150
toyota_camry_ascent_hybrid_auto_sedan_axvh71r,2018,30000,27500,29500,31500
toyota_camry_ascent_hybrid_auto_sedan_axvh71r,2018,60000,26500,28500,30500
toyota_camry_ascent_hybrid_auto_sedan_axvh71r,2018,100000,25500,27500,29500
toyota_camry_ascent_hybrid_auto_sedan_axvh71r,2018,150000,23500,25500,27500
toyota_camry_ascent_hybrid_auto_sedan_axvh71r,2018,200000,21500,23500,25500
toyota_camry_ascent_hybrid_auto_sedan_axvh71r,2020,30000,30500,32500,34500
toyota_camry_ascent_hybrid_auto_sedan_axvh71r,2020,60000,29500,31500,33500
toyota_camry_ascent_hybrid_auto_sedan_axvh71r,2020,100000,27500,29500,31500
toyota_camry_ascent_hybrid_auto_sedan_axvh71r,2020,150000,25500,27500,29500
toyota_camry_ascent_hybrid_auto_sedan_axvh71r,2020,200000,23500,25500,27500
toyota_camry_ascent_hybrid_auto_sedan_axvh71r,2022,30000,32500,34500,36500
toyota_camry_ascent_hybrid_auto_sedan_axvh71r,2022,60000,31500,33500,35500
toyota_camry_ascent_hybrid_auto_sedan_axvh71r,2022,100000,29500,31500,33500
toyota_camry_ascent_hybrid_auto_sedan_axvh71r,2022,150000,27500,29500,31500
toyota_camry_ascent_hybrid_auto_sedan_axvh71r,2022,200000,25500,27500,29500
toyota_camry_ascent_hybrid_auto_sedan_axvh71r,2024,30000,35500,37500,39500
toyota_camry_ascent_hybrid_auto_sedan_axvh71r,2024,60000,33500,35500,37500
toyota_camry_ascent_hybrid_auto_sedan_axvh71r,2024,100000,31500,33500,35500
toyota_camry_ascent_hybrid_auto_sedan_axvh71r,2024,150000,29500,31500,33500
toyota_camry_ascent_hybrid_auto_sedan_axvh71r,2024,200000,27500,29500,31500
toyota_camry_ascent_petrol_auto_sedan_asv70r,2018,30000,27500,29500,31500
toyota_camry_ascent_petrol_auto_sedan_asv70r,2018,60000,26500,28500,30500
toyota_camry_ascent_petrol_auto_sedan_asv70r,2018,100000,24500,26500,28500
toyota_camry_ascent_petrol_auto_sedan_asv70r,2018,150000,22500,24500,26500
toyota_camry_ascent_petrol_auto_sedan_asv70r,2018,200000,20500,22500,24500
toyota_camry_ascent_petrol_auto_sedan_asv70r,2020,30000,29500,31500,33500
toyota_camry_ascent_petrol_auto_sedan_asv70r,2020,60000,27500,29500,31500
toyota_camry_ascent_petrol_auto_sedan_asv70r,2020,100000,25500,27500,29500
toyota_camry_ascent_petrol_auto_sedan_asv70r,2020,150000,23500,25500,27500
toyota_camry_ascent_petrol_auto_sedan_asv70r,2020,200000,21500,23500,25500
toyota_camry_ascent_petrol_auto_sedan_asv70r,2022,30000,31500,33500,35500
toyota_camry_ascent_petrol_auto_sedan_asv70r,2022,60000,29500,31500,33500
toyota_camry_ascent_petrol_auto_sedan_asv70r,2022,100000,27500,29500,31500
toyota_camry_ascent_petrol_auto_sedan_asv70r,2022,150000,25500,27500,29500
toyota_camry_ascent_petrol_auto_sedan_asv70r,2022,200000,23500,25500,27500
mazda_3_neo_petrol_auto_hatch_bl,2009,30000,9800,10800,11800
mazda_3_neo_petrol_auto_hatch_bl,2009,60000,9000,10000,11000
mazda_3_neo_petrol_auto_hatch_bl,2009,100000,8200,9200,10200
mazda_3_neo_petrol_auto_hatch_bl,2009,150000,7000,8000,9000
mazda_3_neo_petrol_auto_hatch_bl,2009,200000,6000,7000,8000
mazda_3_neo_petrol_auto_hatch_bl,2011,30000,10800,11800,12800
mazda_3_neo_petrol_auto_hatch_bl,2011,60000,9800,10800,11800
mazda_3_neo_petrol_auto_hatch_bl,2011,100000,8800,9800,10800
mazda_3_neo_petrol_auto_hatch_bl,2011,150000,7800,8800,9800
mazda_3_neo_petrol_auto_hatch_bl,2011,200000,6500,7500,8500
mazda_3_neo_petrol_auto_hatch_bl,2013,30000,11800,12800,13800
mazda_3_neo_petrol_auto_hatch_bl,2013,60000,10800,11800,12800
mazda_3_neo_petrol_auto_hatch_bl,2013,100000,9500,10500,11500
mazda_3_neo_petrol_auto_hatch_bl,2013,150000,8500,9500,10500
mazda_3_neo_petrol_auto_hatch_bl,2013,200000,7000,8000,9000
hyundai_i30_active_petrol_auto_hatch_gd,2013,30000,10800,11800,12800
hyundai_i30_active_petrol_auto_hatch_gd,2013,60000,9800,10800,11800
hyundai_i30_active_petrol_auto_hatch_gd,2013,100000,8800,9800,10800
hyundai_i30_active_petrol_auto_hatch_gd,2013,150000,7800,8800,9800
hyundai_i30_active_petrol_auto_hatch_gd,2013,200000,6800,7800,8800
hyundai_i30_active_petrol_auto_hatch_gd,2015,30000,12500,13500,14500
hyundai_i30_active_petrol_auto_hatch_gd,2015,60000,11500,12500,13500
hyundai_i30_active_petrol_auto_hatch_gd,2015,100000,10000,11000,12000
hyundai_i30_active_petrol_auto_hatch_gd,2015,150000,9000,10000,11000
hyundai_i30_active_petrol_auto_hatch_gd,2015,200000,7800,8800,9800
hyundai_i30_active_petrol_auto_hatch_gd,2016,30000,13800,14800,15800
hyundai_i30_active_petrol_auto_hatch_gd,2016,60000,12800,13800,14800
hyundai_i30_active_petrol_auto_hatch_gd,2016,100000,11200,12200,13200
hyundai_i30_active_petrol_auto_hatch_gd,2016,150000,10000,11000,12000
hyundai_i30_active_petrol_auto_hatch_gd,2016,200000,8800,9800,10800
