year,make,model,variant,body_type,transmission,fuel_type,odometer_reading,no_of_seats,vin,rego_no,rego_expiry,no_of_cylinders,engine_capacity,exterior_colour,interior_colour,key,spare_key,owners_manual,service_history,engine_turns_over,location,url,general_condition,canonical_tag,canonical_reason
2007,citroen,c4,1.6,hatchback,manual,petrol,28157,5.0,VF7LCNFUC74466542,UWA578,22-06-2026,4.0,1.6,Silver,Grey,Yes,Yes,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21063270/motor-vehicles-motor-cycles/2007-citroen-c4-1-6-manual-hatchback,"hood lining sagging
rear view mirror and door mirror broken
medium scuffs, paint peeling around vehicle
corrosion visible on bonnet.",unclassified,[out_of_scope]
2009,mazda,cx-7,luxury,wagon,automatic,petrol,182235,5.0,JM0ER103190115686,XBC841,22-05-2026,4.0,2.3,Purple,Black Leather,Yes,Yes,Yes,Partial,Yes,vic,https://www.grays.com/lot/0001-21063271/motor-vehicles-motor-cycles/2009-mazda-cx-7-luxury-automatic-wagon,"medium scratches passenger side.
dents or marks on body consistent with age and kilometres.",unclassified,[out_of_scope]
2015,nissan,pathfinder,st-l r52,wagon,cvt,petrol,132918,7.0,5N1AR2MN3FC705387,2EB8AB,07-06-2026,6.0,3.5,Black,Black Leather,Yes,Yes,Yes,Partial,Yes,vic,https://www.grays.com/lot/0001-21063273/motor-vehicles-motor-cycles/2015-nissan-pathfinder-st-l-r52-cvt-7-seats-wagon,"dents or marks on body consistent with age and kilometres.
medium scuff, paint fading on rear passenger side",unclassified,[out_of_scope]
2012,ford,territory,ts sz,wagon,automatic,diesel,137505,7.0,6FPAAAJGATCR65356,YXO764,17-02-2026,6,2.7,Dark Blue,Black,Yes,Yes,No,No,Yes,vic,https://www.grays.com/lot/0001-21063276/motor-vehicles-motor-cycles/2012-ford-territory-ts-sz-turbo-diesel-automatic-7-seats-wagon,"carpet worn in places.
hood lining sagging
controls inoperable front and rear passenger window controls
dents or marks on body consistent with age and kilometres.
medium scratch on around vehicle",unclassified,[out_of_scope]
2014,renault,koleos,bose,wagon,cvt,petrol,114174,5.0,VF1VY0C02EC530011,1XD6FB,Unregistered,4.0,2.5,White,Black Leather,Yes,No,No,No,Yes,vic,https://www.grays.com/lot/0001-21063277/motor-vehicles-motor-cycles/2014-renault-koleos-bose-cvt-wagon,"dents or marks on body consistent with age and kilometres.
large scuff on rear quarter panel passenger side
comment: odometer discrepancy detected, see attached history report.
interior: seat torn",unclassified,[out_of_scope]
2013,volkswagen,tiguan,132 tsi pacific 5n,wagon,automatic,petrol,177673,5.0,WVGZZZ5NZEW046830,1AO3PE,24-02-2026,4.0,2.0,Brown,Black,Yes,No,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21063278/motor-vehicles-motor-cycles/2013-volkswagen-tiguan-132-tsi-pacific-5n-automatic-wagon,"seat torn drivers
dents or marks on body consistent with age and kilometres.
medium scratch on around vehicle
large dent on tailgate.
coolant leak
oil leak",unclassified,[out_of_scope]
2014,volkswagen,transporter,tdi340 swb t5 van,van,automatic,diesel,206766,2.0,WV1ZZZ7HZFH063353,1ZZ2MG,19-04-2026,4.0,2.0,White,Grey,Yes,Yes,No,No,Yes,vic,https://www.grays.com/lot/0001-21063279/motor-vehicles-motor-cycles/2014-volkswagen-transporter-tdi340-swb-t5-turbo-diesel-automatic-van,"seat torn drivers
dents or marks on body consistent with age and kilometres.
paint peeling left side skirt
medium scratch on around vehicle
engine noise observed.",unclassified,[out_of_scope]
2011,ford,focus,titanium lw,sedan,automatic,diesel,250177,5.0,WF0MXXGCBMBJ23079,1UZ8HO,08-03-2026,4.0,2.0,Silver,Black,Yes,Yes,Yes,Partial,Yes,vic,https://www.grays.com/lot/0001-21063280/motor-vehicles-motor-cycles/2011-ford-focus-titanium-lw-turbo-diesel-automatic-sedan,"hail damage visible.
dents or marks on body consistent with age and kilometres.
windscreen chipped or cracked.
medium scuff on around vehicle",unclassified,[out_of_scope]
2011,holden,commodore,omega ve,sedan,automatic,petrol,201774,5.0,6G1EK5E54BL531720,2DW6QZ,17-02-2026,6.0,3.0,Grey,Grey,Yes,No,Yes,Partial,Yes,vic,https://www.grays.com/lot/0001-21063281/motor-vehicles-motor-cycles/2011-holden-commodore-omega-ve-automatic-sedan,dents or marks on body consistent with age and kilometres.,unclassified,[out_of_scope]
2019,ford,ranger,xlt 4x4 px iii 10 dual cab,cab chassis,automatic,diesel,121513,5.0,MPBUMFF60KX224214,No Plates,Unregistered,4.0,2.0,White,Black,Yes,No,Yes,Partial,Yes,vic,https://www.grays.com/lot/0001-21063283/motor-vehicles-motor-cycles/2019-ford-ranger-xlt-4x4-px-iii-turbo-diesel-10-auto-dual-cab,"medium scuff on around vehicle
medium dent on around vehicle
dents or marks on body consistent with age and kilometres.",unclassified,[out_of_scope]
2013,mercedes-benz,e350,,sedan,automatic,petrol,120381,5.0,WDD2120592A885225,DIU965,04-03-2026,6.0,3.5,White,Black Leather,Yes,No,No,Partial,Yes,vic,https://www.grays.com/lot/0001-21063285/motor-vehicles-motor-cycles/2013-mercedes-benz-e350-automatic-sedan,"medium scratch on around vehicle
dents or marks on body consistent with age and kilometres.",unclassified,[out_of_scope]
1988,bmw,7,series e32,sedan,automatic,petrol,125794,5.0,WBAGC420700950069,DWW959,28-02-2026.,6.0,3.5,Blue,Grey,Yes,No,Yes,No,Yes,vic,https://www.grays.com/lot/0001-21063286/motor-vehicles-motor-cycles/1988-bmw-7-series-e32-automatic-sedan,"engine noise observed.
paint peeling around vehicle
medium scuff on around vehicle
seat torn driver side
front seat worn all seat
hood lining sagging
damaged lhr tail light",unclassified,[out_of_scope]
2014,mercedes,benz,a45 a45 amg w176,hatchback,automatic,petrol,146720,5.0,WDD1760522J341828,DMC230,06-03-2026,4.0,2.0,Black,Black Leather,Yes,Yes,No,Partial,Yes,vic,https://www.grays.com/lot/0001-21063288/motor-vehicles-motor-cycles/2014-mercedes-benz-a45-a45-amg-w176-automatic-hatchback,medium scratch on around vehicle,unclassified,[out_of_scope]
2020,mitsubishi,triton,4x4 glx mr,cab chassis,automatic,diesel,142529,2.0,MMAYLKL10LH021219,2BR7LL,20-06-2026,4.0,2.4,White,Grey,Yes,Yes,Yes,No,Yes,vic,https://www.grays.com/lot/0001-21063289/motor-vehicles-motor-cycles/2020-mitsubishi-triton-4x4-glx-mr-turbo-diesel-automatic-cab-chassis,dents or marks on body consistent with age and kilometres.,unclassified,[out_of_scope]
2013,audi,a4,2.0 tfsi quattro b8,sedan,automatic,petrol,129666,5.0,WAUZZZ8K7EA045300,2DW5ZJ,09-03-2026,4.0,2.0,White,Black Leather,Yes,No,Yes,No,Yes,vic,https://www.grays.com/lot/0001-21063290/motor-vehicles-motor-cycles/2013-audi-a4-2-0-tfsi-quattro-b8-automatic-sedan,"medium scratch on around vehicle
rear cracked bumper.
dents or marks on body consistent with age and kilometres.",unclassified,[out_of_scope]
2015,toyota,rav,4 fwd gx zsa42r,wagon,cvt,petrol,141220,5.0,JTMZDREV90J053469,No plates,Unregistered,4.0,2.0,White,Black,Yes,Yes,Yes,Partial,Yes,vic,https://www.grays.com/lot/0001-21063291/motor-vehicles-motor-cycles/2015-toyota-rav-4-fwd-gx-zsa42r-cvt-wagon,"dents or marks on body consistent with age and kilometres.
medium scratch on around vehicle",unclassified,[out_of_scope]
2015,ford,territory,tx sz ii,wagon,automatic,diesel,306812,5.0,6FPAAAJGATFL84069,1EU7QI,25-06-2026,6.0,2.7,White,Grey,Yes,Yes,Yes,Partial,Yes,vic,https://www.grays.com/lot/0001-21063292/motor-vehicles-motor-cycles/2015-ford-territory-tx-sz-ii-turbo-diesel-automatic-wagon,"windscreen chipped or cracked.
dents or marks on body consistent with age and kilometres.",unclassified,[out_of_scope]
2004,ford,courier,gl 4x2 ph,cab chassis,manual,petrol,159860,2.0,MNABSAD704W406832,1UN4JW,15-04-2026,4.0,2.6,Grey,Grey,Yes,No,Yes,Partial,Yes,vic,https://www.grays.com/lot/0001-21063294/motor-vehicles-motor-cycles/2004-ford-courier-gl-4x2-ph-manual-cab-chassis,"oil leak
exhaust leak
paint fading around exterior
medium scratch on around exterior
dents or marks on body consistent with age and kilometres.
windscreen chipped or cracked.
seat torn driver seat",unclassified,[out_of_scope]
2004,mini,cooper,,hatchback,automatic,petrol,167281,4.0,WMWRC32060TJ16456,1KG5BJ,15-04-2026,4.0,1.6,Black,Black,Yes,Yes,Yes,Partial,Yes,vic,https://www.grays.com/lot/0001-21063296/motor-vehicles-motor-cycles/2004-mini-cooper-automatic-hatchback,"medium scratch on some places
door card damaged.
carpet worn in places.
paint cracked some places
hood lining sagging
engine noise observed.
transmission requires attention strongly recommend inspection by qualified third party",unclassified,[out_of_scope]
2005,ford,falcon,xt ba ii,sedan,automatic,petrol,295202,5.0,6FPAAAJGSW5P47378,1ZJ7SX,15-03-2026,6.0,4.0,Silver,Black,Yes,No,Yes,Partial,Yes,vic,https://www.grays.com/lot/0001-21063297/motor-vehicles-motor-cycles/2005-ford-falcon-xt-ba-ii-automatic-sedan,"door card damaged.
paint fading, peeling around vehicle
large scratces around vehicle
rear cracked bumper.
dents or marks on body consistent with age and kilometres.
interior: gear knob worn, exterior: rhs side skirt damaged.
interior: gear knob worn, exterior: rhs side skirt damaged.",unclassified,[out_of_scope]
2016,hyundai,accent,active rb,hatchback,manual,petrol,189452,5.0,KMHCT51BLGU282726,2DY6GQ,20-05-2026,4,1.4,White,Grey,Yes,Yes,Yes,Partial,Yes,vic,https://www.grays.com/lot/0001-21063298/motor-vehicles-motor-cycles/2016-hyundai-accent-active-rb-manual-hatchback,dents or marks on body consistent with age and kilometres.,unclassified,[out_of_scope]
2014,ford,fiesta,ambiente wz,hatchback,automatic,petrol,134682,5.0,MNB8XXARJ8ES28046,No plates,Unregistered,4,1.5,Silver,Black,Yes,No,No,No,Yes,vic,https://www.grays.com/lot/0001-21063299/motor-vehicles-motor-cycles/2014-ford-fiesta-ambiente-wz-automatic-hatchback,"transmission requires attention strongly recommend inspection by qualified third party
seat torn drivers
front cracked bumper.
medium dents, scuffs on around vehicle
dents or marks on body consistent with age and kilometres.",unclassified,[out_of_scope]
2017,suzuki,swift,gl az,hatchback,manual,petrol,230173,5.0,JSAAZC83S00111798,1LA3LA,28-02-2026,4,1.2,White,Black,Yes,Yes,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21063300/motor-vehicles-motor-cycles/2017-suzuki-swift-gl-az-manual-hatchback,"windscreen chipped.
dents or marks on body consistent with age and kilometres.",unclassified,[out_of_scope]
2007,toyota,landcruiser,prado gxl kdj120r,wagon,automatic,diesel,381178,8.0,JTEBZ29JX00151090,UZQ988,18-09-2026,4,3.0,Grey,Grey,Yes,Yes,Yes,Partial,Yes,vic,https://www.grays.com/lot/0001-21063302/motor-vehicles-motor-cycles/2007-toyota-landcruiser-prado-gxl-kdj120r-turbo-diesel-auto-8-seats-wagon,"dash torn or cracked
large scratch on around vehicle
dents or marks on body consistent with age and kilometres.",unclassified,[out_of_scope]
2005,subaru,outback,2.5i safety pack b4a,wagon,automatic,petrol,272235,5.0,JF2BP9KLA5G025023,TNP670,20-06-2026,4,2.5,Silver,Black,Yes,No,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21063303/motor-vehicles-motor-cycles/2005-subaru-outback-2-5i-safety-pack-b4a-automatic-wagon,"windscreen chipped or cracked.
dents or marks on body consistent with age and kilometres.
windscreen chipped or cracked.
medium scratch on around vehicle
dents or marks on body consistent with age and kilometres.
medium dent on tailgate
medium scratch on around vehicle
medium dent on tailgate",unclassified,[out_of_scope]
2014,volkswagen,golf,90tsi a7,hatchback,automatic,petrol,163220,5.0,WVWZZZAUZFW135065,2DQ4ZM,24-01-2026,4,1.4,Black,Black,Yes,Yes,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21063304/motor-vehicles-motor-cycles/2014-volkswagen-golf-90tsi-a7-automatic-hatchback,"medium scratch on around vehicle
medium scuff on around vehicle
dents or marks on body consistent with age and kilometres.
other warning light on",unclassified,[out_of_scope]
2011,toyota,yaris,yr ncp90r,hatchback,automatic,petrol,96237,5.0,JTDKW923405189046,YOV176,19-03-2026,4,1.3,Pink,Grey,Yes,Yes,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21063307/motor-vehicles-motor-cycles/2011-toyota-yaris-yr-ncp90r-automatic-hatchback,"medium scuff on around vehicle
medium dent on around vehicle",unclassified,[out_of_scope]
2011,bmw,x5,xdrive 30d e70 lci,wagon,automatic,diesel,205874,5.0,WBAZW420X0L792499,1RU6WY,Unregistered,6,3.0,Gold,Beige Leather,Yes,No,Yes,No,Yes,vic,https://www.grays.com/lot/0001-21063315/motor-vehicles-motor-cycles/2011-bmw-x5-xdrive-30d-e70-lci-turbo-diesel-automatic-8-speed-wagon,"medium scratch on rear bumper
dents or marks on body consistent with age and kilometres.
engine idling rough
engine oil leak
front seat worn driver seat worn
other warning light on",unclassified,[out_of_scope]
2017,subaru,impreza,2.0i premium g5,hatchback,cvt,petrol,157575,5.0,JF1GT7KL5HG004360,AMB220,28-03-2026,4,2.0,Grey,Black,Yes,Yes,Yes,Partial,Yes,vic,https://www.grays.com/lot/0001-21063316/motor-vehicles-motor-cycles/2017-subaru-impreza-2-0i-premium-g5-cvt-hatchback,"dents or marks on body consistent with age and kilometres.
paint fading roof",unclassified,[out_of_scope]
2017,subaru,xv,2.0i-s g4x,hatchback,cvt,petrol,228330,5.0,JF1GP7KC5HG205606,AOB581,08-06-2026,4,2.0,White,Black Leather,Yes,Yes,Yes,Partial,Yes,vic,https://www.grays.com/lot/0001-21063324/motor-vehicles-motor-cycles/2017-subaru-xv-2-0i-s-g4x-cvt-hatchback,dents or marks on body consistent with age and kilometres.,unclassified,[out_of_scope]
2012,opel,astra,select pj,hatchback,automatic,petrol,152327,5.0,W0LPE6EJ3D8015845,1YM4LK,30-05-2026,4,1.6,Red,Black,Yes,Yes,Yes,Partial,Yes,vic,https://www.grays.com/lot/0001-21063325/motor-vehicles-motor-cycles/2012-opel-astra-select-pj-automatic-hatchback,dents or marks on body consistent with age and kilometres.,unclassified,[out_of_scope]
2007,mini,cooper,s r56,hatchback,automatic,petrol,163544,4.0,WMWMF72010TL40257,1ZX1CU,27-12-2025,4,1.6,Grey,Cream Leather,Yes,Yes,Yes,Partial,Yes,vic,https://www.grays.com/lot/0001-21063328/motor-vehicles-motor-cycles/2007-mini-cooper-s-r56-automatic-hatchback,"dents or marks on body consistent with age and kilometres.
paint fading bonnet scoop",unclassified,[out_of_scope]
2014,mazda,3,touring bm,sedan,manual,petrol,268378,5.0,JM0BM527610107595,No plates,Unregistered,4,2.0,Blue,Black Leather,Yes,No,Yes,Partial,Yes,vic,https://www.grays.com/lot/0001-21063329/motor-vehicles-motor-cycles/2014-mazda-3-touring-bm-manual-sedan,"seat torn drivers
carpet worn in places.
medium scratch on around vehicle
dents or marks on body consistent with age and kilometres.",unclassified,[out_of_scope]
2015,toyota,landcruiser,prado gx gdj150r,wagon,automatic,diesel,310340,5.0,JTEBR3FJ60K010581,1NZ6DB,30-10-2026,4,2.8,White,Grey,Yes,Yes,Yes,Partial,Yes,vic,https://www.grays.com/lot/0001-21063338/motor-vehicles-motor-cycles/2015-toyota-landcruiser-prado-gx-gdj150r-turbo-diesel-automatic-wagon,"windscreen chipped or cracked.
door card worn.
large dent on around vehicle
damaged rear tail light and driving light
dents or marks on body consistent with age and kilometres.",unclassified,[out_of_scope]
2010,audi,a5,3.0 tdi quattro 8t,hatchback,automatic,diesel,235218,4.0,WAUZZZ8T2AA072679,CXO152,02-04-2026,6,3.0,White,Black Leather,Yes,No,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21063346/motor-vehicles-motor-cycles/2010-audi-a5-3-0-tdi-quattro-8t-turbo-diesel-automatic-hatchback,"parking sensors not working
dents or marks on body consistent with age and kilometres.",unclassified,[out_of_scope]
2017,toyota,camry,altise hybrid avv50r,sedan,cvt,hybrid,148861,5.0,6T1BD3FK50X158543,No plates,Unregistered,4,2.5,White,Grey,Yes,No,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21063347/motor-vehicles-motor-cycles/2017-toyota-camry-altise-hybrid-avv50r-cvt-sedan,"windscreen chipped or cracked.
dents or marks on body consistent with age and kilometres.",unclassified,[disallowed_variant]
2016,subaru,wrx,premium v1,sedan,cvt,petrol,198625,5.0,JF1VAGK85HG015338,1IK3LZ,27-03-2026,4,2.0,Blue,Black Leather,Yes,Yes,Yes,Partial,Yes,vic,https://www.grays.com/lot/0001-21063348/motor-vehicles-motor-cycles/2016-subaru-wrx-premium-v1-cvt-sedan,"dents or marks on body consistent with age and kilometres.
medium dent on driver side back door and passenger side door
medium scratch on various panels
paint fading on various panels",unclassified,[out_of_scope]
2024,mg,zs,excite,wagon,automatic,petrol,12592,5.0,LSJW74U91RZ167142,2ED7LY,16-05-2026,4,1.5,White,Black Leather,Yes,No,No,Yes,Yes,vic,https://www.grays.com/lot/0001-21063349/motor-vehicles-motor-cycles/2024-mg-zs-excite-automatic-rwc-issued-14-02-2026-wovr-inspected,dents or marks on body consistent with age and kilometres.,unclassified,[out_of_scope]
2023,volkswagen,tiguan,110tsi life 5na,wagon,automatic,petrol,43362,5.0,WVGZZZ5N6PW052936,2DO1PL,08-04-2026,4,1.4,Silver,Grey,Yes,Yes,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21063350/motor-vehicles-motor-cycles/2023-volkswagen-tiguan-110tsi-life-5na-automatic-wagon,medium scratch on around vehicle,unclassified,[out_of_scope]
2023,honda,hr-v,vi x rv,wagon,cvt,petrol,2950,4.0,JHMRV3800NS203904,DVO445,12-06-2026,4,1.5,White,Black,Yes,No,Yes,No,Yes,vic,https://www.grays.com/lot/0001-21063351/motor-vehicles-motor-cycles/2023-honda-hr-v-vi-x-rv-cvt-wagon,"medium scratch on left rear quarter
medium scuff on drivers mirror
dents or marks on body consistent with age and kilometres.",unclassified,[out_of_scope]
2013,holden,colorado,4x2 ltz rg,dual cab,automatic,diesel,252299,5.0,MMU148LK0EH613563,1GY4BN,19-04-2026,4,2.8,Grey,Grey,Yes,Yes,Yes,Partial,Yes,vic,https://www.grays.com/lot/0001-21063352/motor-vehicles-motor-cycles/2013-holden-colorado-4x2-ltz-rg-turbo-diesel-automatic-dual-cab,"medium scratch on around vehicle
windscreen chipped or cracked.",unclassified,[out_of_scope]
2006,toyota,landcruiser,prado gxl grj120r,wagon,automatic,petrol,366013,8.0,JTEBU29J905055386,No plates,Unregistered,6,4.0,Grey,Grey,Yes,No,Yes,Partial,Yes,vic,https://www.grays.com/lot/0001-21063353/motor-vehicles-motor-cycles/2006-toyota-landcruiser-prado-gxl-grj120r-automatic-8-seats-wagon,"engine light on
large scuff on around vehicle
dents or marks on body consistent with age and kilometres.",unclassified,[out_of_scope]
2006,subaru,impreza,2.0i g2,sedan,manual,petrol,254012,5.0,JF1GD9KJ37G064973,UMB333,14-11-2026,4,2.0,Silver,Grey,Yes,Yes,Yes,Partial,Yes,vic,https://www.grays.com/lot/0001-21063355/motor-vehicles-motor-cycles/2006-subaru-impreza-2-0i-g2-manual-sedan,"engine light on
front seat stains both
paint peeling around vehicle
medium scuff on around vehicle
medium scratch on around vehicle
dents or marks on body consistent with age and kilometres.",unclassified,[out_of_scope]
2012,mitsubishi,lancer,lx cj,sedan,cvt,petrol,213536,5.0,JMFSTCY4ADU001856,ZKW719,13-03-2026,4,2.0,Grey,Black Leather,Yes,No,Yes,Partial,Yes,vic,https://www.grays.com/lot/0001-21063356/motor-vehicles-motor-cycles/2012-mitsubishi-lancer-lx-cj-cvt-sedan,"medium scratch on around vehicle
paint peeling spoiler
seat torn driver side
dents or marks on body consistent with age and kilometres.",unclassified,[out_of_scope]
2010,kia,cerato,si td,hatchback,manual,petrol,285988,5.0,KNAFT512LB5361887,YDQ760,23-02-2026,4,2.0,Silver,Black,Yes,No,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21063358/motor-vehicles-motor-cycles/2010-kia-cerato-si-td-manual-hatchback,"engine noise observed.
windscreen chipped or cracked.
dents or marks on body consistent with age and kilometres.
medium dent on bonnet
damaged brake light driver side
medium scuff on rear bumper
paint peeling around vehicle",unclassified,[out_of_scope]
2018,holden,commodore,liftback lt zb,hatchback,automatic,diesel,206306,5.0,W0VZM6EG5J1109317,1QM4WY,08-11-2026,4,2.0,White,Black,Yes,Yes,Yes,Partial,Yes,vic,https://www.grays.com/lot/0001-21063361/motor-vehicles-motor-cycles/2018-holden-commodore-liftback-lt-zb-turbo-diesel-auto-8-speed-hatchback,"medium dent on around vehicle
windscreen chipped or cracked.
dents or marks on body consistent with age and kilometres.",unclassified,[out_of_scope]
2006,subaru,impreza,2.0i g2,hatchback,automatic,petrol,171379,5.0,JF1GG9KR57G035764,UMB423,27-02-2026,4,2.0,Black,Multi,Yes,No,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21063362/motor-vehicles-motor-cycles/2006-subaru-impreza-2-0i-g2-automatic-hatchback,"front seat worn drivers
large scuff on around vehicle
paint fading around vehicle",unclassified,[out_of_scope]
2014,nissan,pathfinder,st-l hybrid r52,wagon,cvt,hybrid,100086,7.0,5N1CR2MM4EC689196,1ON7UZ,03-08-2026,4,2.5,Silver,Black Leather,Yes,Yes,Yes,Partial,Yes,vic,https://www.grays.com/lot/0001-21063363/motor-vehicles-motor-cycles/2014-nissan-pathfinder-st-l-hybrid-r52-cvt-7-seats-wagon,"medium scratch on front passenger side
dents or marks on body consistent with age and kilometres.
front seat worn driver seat",unclassified,[out_of_scope]
2015,ford,ranger,xl 4x2 hi-rider px,crew cab chassis,automatic,diesel,231620,5.0,MNAUMEF80FW415325,1EK1BP,27-04-2026,4,2.2,White,Grey,Yes,No,Yes,Partial,Yes,vic,https://www.grays.com/lot/0001-21063365/motor-vehicles-motor-cycles/2015-ford-ranger-xl-4x2-hi-rider-px-turbo-diesel-automatic-crew-cab-chassis,"back seat stains.
windscreen chipped or cracked.
front bumper cracked bumper.
dents or marks on body consistent with age and kilometres.
medium scuff on around vehicle",unclassified,[out_of_scope]
2010,suzuki,swift,ez,hatchback,automatic,petrol,246633,5.0,JSAEZC21S00565207,1XE8DY,15-01-2027,4,1.5,White,Grey,Yes,No,Yes,Partial,Yes,vic,https://www.grays.com/lot/0001-21063366/motor-vehicles-motor-cycles/2010-suzuki-swift-ez-automatic-hatchback,"seat torn passenger seat
front seat stains both
dents or marks on body consistent with age and kilometres.
windscreen chipped or cracked.
medium scuff on around vehicle",unclassified,[out_of_scope]
2010,volkswagen,golf,gti a6,hatchback,automatic,petrol,337493,5.0,WVWZZZ1KZAW347575,XSF177,07-03-2026,4,2.0,Red,Black Leather,Yes,Yes,Yes,Partial,Yes,vic,https://www.grays.com/lot/0001-21063367/motor-vehicles-motor-cycles/2010-volkswagen-golf-gti-a6-automatic-hatchback,"windscreen chipped or cracked.
medium scuffs around vehicle
exterior light fault warning light on
dents or marks on body consistent with age and kilometres.
damaged front fog light",unclassified,[out_of_scope]
2016,nissan,pathfinder,st-l r52,wagon,cvt,petrol,153918,7.0,5N1AR2MM6GC672765,1KU8BJ,03-08-2026,6,3.5,Blue,Black Leather,Yes,Yes,Yes,Partial,Yes,vic,https://www.grays.com/lot/0001-21063368/motor-vehicles-motor-cycles/2016-nissan-pathfinder-st-l-r52-cvt-7-seats-wagon,"large scuff on around vehicle
dents or marks on body consistent with age and kilometres.",unclassified,[out_of_scope]
2007,volkswagen,passat,2.0 tfsi 3c,wagon,automatic,petrol,216961,5.0,WVWZZZ3CZ7E187531,UWD227,16-07-2026,4,2.0,Gold,Black,Yes,No,Yes,Partial,Yes,vic,https://www.grays.com/lot/0001-21063369/motor-vehicles-motor-cycles/2007-volkswagen-passat-2-0-tfsi-3c-automatic-wagon,"medium scuff on around vehicle
damaged around vehicle",unclassified,[out_of_scope]
2012,mercedes,benz,b-class b200 be w246 (wovr-repairable),hatchback,automatic,petrol,221990,5.0,WDD2462432J055443,ACI438,24-03-2026,4,1.6,Silver,Black Leather,Yes,No,Yes,Partial,Yes,vic,https://www.grays.com/lot/0001-21063370/motor-vehicles-motor-cycles/2012-mercedes-benz-b-class-b200-be-w246-auto-hatchback-wovr-repairable,"dents or marks on body consistent with age and kilometres.
paint fading roof
flat battery. jump start or towing required
seat torn drivers",unclassified,[out_of_scope]
2016,mitsubishi,pajero,sport gls qe t,wagon,automatic,diesel,194037,7.0,MMAGUKS10GH005840,1KD6AF,15-10-2026,4,2.4,Brown,Black Leather,Yes,Yes,Yes,Partial,Yes,vic,https://www.grays.com/lot/0001-21063371/motor-vehicles-motor-cycles/2016-mitsubishi-pajero-sport-gls-qe-t-diesel-auto-8-speed-7-seats-wagon,"medium scratch on around vehicle
medium dent on around vehicle",unclassified,[out_of_scope]
2010,mitsubishi,outlander,ls 2wd zh,wagon,manual,petrol,284204,5.0,JMFXNCW5WBU000638,YAM570,02-06-2026,4,2.4,White,Black,Yes,Yes,Yes,Partial,Yes,vic,https://www.grays.com/lot/0001-21063372/motor-vehicles-motor-cycles/2010-mitsubishi-outlander-ls-2wd-zh-manual-wagon,"stains on seats.seat torn drivers
large dents, scuffs and scratches around vehicle
corrosion visible around vehicle
dents or marks on body consistent with age and kilometres.",unclassified,[out_of_scope]
2012,jeep,grand,cherokee laredo wk,wagon,automatic,diesel,375947,5.0,1C4RJFEM1DC621531,ZMF052,12-02-2026,6,3.0,Silver,Black,Yes,Yes,Yes,Partial,Yes,vic,https://www.grays.com/lot/0001-21063373/motor-vehicles-motor-cycles/2012-jeep-grand-cherokee-laredo-wk-turbo-diesel-automatic-wagon,"front seat stains both
dents or marks on body consistent with age and kilometres.
medium scratch on around vehicle",unclassified,[out_of_scope]
2013,jeep,compass,limited,wagon,automatic,petrol,228516,5.0,1C4NJDDB7ED640941,1BZ8QE,02-03-2026,4,2.4,White,Black Leather,Yes,Yes,Yes,Partial,Yes,vic,https://www.grays.com/lot/0001-21063375/motor-vehicles-motor-cycles/2013-jeep-compass-limited-automatic-wagon,dents or marks on body consistent with age and kilometres.,unclassified,[out_of_scope]
2015,volkswagen,golf,alltrack 132tsi a7,wagon,automatic,petrol,150373,5.0,WVWZZZAUZGP510479,2CG5HZ,22-03-2026,4,1.8,Silver,Black Leather,Yes,Yes,No,Yes,Yes,vic,https://www.grays.com/lot/0001-21063376/motor-vehicles-motor-cycles/2015-volkswagen-golf-alltrack-132tsi-a7-automatic-wagon,"other warning light on
airbag light on
medium scratch on around vehicle
paint fading on various panels
dents or marks on body consistent with age and kilometres.",unclassified,[out_of_scope]
2008,mazda,cx-9,luxury,wagon,automatic,petrol,256523,7.0,JM0TB10A100107292,WMB786,30-03-2026,6,3.7,Blue,Tan Leather,Yes,Yes,Yes,Partial,Yes,vic,https://www.grays.com/lot/0001-21063377/motor-vehicles-motor-cycles/2008-mazda-cx-9-luxury-automatic-7-seats-wagon,"large scuff on around vehicle
large scratch on around vehicle
engine light on
seat torn both front seats
windscreen chipped or cracked.",unclassified,[out_of_scope]
2012,holden,cruze,cdx jh,sedan,automatic,petrol,255605,5.0,6G1PE5E58CL624404,2DT2WI,30-04-2026,4,1.8,Black,Black Leather,Yes,No,Yes,Partial,Yes,vic,https://www.grays.com/lot/0001-21063378/motor-vehicles-motor-cycles/2012-holden-cruze-cdx-jh-automatic-sedan,"medium scuff on around vehicle
medium dent on front quarter panel passenger side
windscreen chipped or cracked.
door card worn.
dents or marks on body consistent with age and kilometres.",unclassified,[out_of_scope]
