year,make,model,variant,body_type,transmission,fuel_type,odometer_reading,no_of_seats,vin,rego_no,rego_expiry,no_of_cylinders,engine_capacity,exterior_colour,interior_colour,key,spare_key,owners_manual,service_history,engine_turns_over,location,url,general_condition,canonical_tag,canonical_reason
2006,toyota,rav,4 cruiser l aca33r,wagon,automatic,petrol,177550,5.0,JTMBD31V705063172,BBB76B,Unregistered,4,2.4,Silver,Black,Yes,Yes,Yes,Partial,Yes,nsw,https://www.grays.com/lot/0001-10352788/motor-vehicles-motor-cycles/2006-toyota-rav-4-cruiser-l-aca33r-automatic-wagon,"large scratch on front bar, both mirrors, pseenger doors, quarter panel and rear bar
large dent on passenger rear door
medium dent on passenger quarter panel
body/panel damage front end and drivers guard
steering requires attention.
seat torn driver side.
panel secured with tape.",unclassified,[out_of_scope]
2016,ford,ranger,xl 4x4 px ii dual cab,cab chassis,automatic,diesel,452855,5.0,MNAUMFF50GW607925,1YM7UG,Unregistered,5,3.2,White,Black,Yes,No,No,Partial,Yes,nsw,https://www.grays.com/lot/0001-10352789/motor-vehicles-motor-cycles/2016-ford-ranger-xl-4x4-px-ii-turbo-diesel-automatic-dual-cab,"large dent on roof and bonnet
seat torn drivers seat
other warning light on
medium scratch on lhr quarter
paint peeling on tray.
board between cab and tray.",unclassified,[out_of_scope]
2016,skoda,octavia,rs 162tsi ne,sedan,automatic,petrol,172650,5.0,TMBBE9NE5G0234602,YGF28Y,Unregistered,4,2.0,Grey,Black,Yes,Yes,Yes,No,Yes,nsw,https://www.grays.com/lot/0001-10352791/motor-vehicles-motor-cycles/2016-skoda-octavia-rs-162tsi-ne-automatic-sedan,"hail damage visible.
corrosion visible spot on roof
other warning light on",unclassified,[out_of_scope]
2015,subaru,forester,2.5i-s s4,wagon,cvt,petrol,244720,5.0,JF2SJ9KC5FG055081,CZT90U,Unregistered,4,2.5,Silver,Black,Yes,No,Yes,Partial,Yes,nsw,https://www.grays.com/lot/0001-10352792/motor-vehicles-motor-cycles/2015-subaru-forester-2-5i-s-s4-cvt-wagon,"front, with headlight washer and foglight surround missing on passenger side cracked bumper.
paint fading rear spoiler
carpet worn in places.
other warning light on
controls broken electric tailgate requires attention",unclassified,[out_of_scope]
2010,holden,ute,sv6 ve,ute,manual,petrol,268809,2.0,6G1EK4EV6AL463428,No plates,Unregistered,6,3.6,Blue,Black,Yes,Yes,Yes,Partial,Yes,nsw,https://www.grays.com/lot/0001-10352797/motor-vehicles-motor-cycles/2010-holden-ute-sv6-ve-manual-ute,"paint fading bonnet, roof
medium dent on rear bumper bar
paint peeling doors and quarter panels, driver side sill skirt
engine noise observed.
abs light on
traction control light on
door card damaged.",unclassified,[out_of_scope]
2017,jaguar,f-pace,20d prestige 2wd,wagon,automatic,diesel,166400,5.0,SADCB2AN9JA280014,FWL42A,Unregistered,4,2.0,Grey,Black,Yes,No,Yes,Partial,Yes,nsw,https://www.grays.com/lot/0001-10352799/motor-vehicles-motor-cycles/2017-jaguar-f-pace-20d-prestige-2wd-turbo-diesel-automatic-8-speed-wagon,"large scratch on bumper bars
windscreen chipped or cracked.
engine noise observed.
engine lacks power",unclassified,[out_of_scope]
2018,mitsubishi,triton,4x4 glx mq,dual cab,automatic,diesel,137098,5.0,MMAJYKL10JH013570,CP64MT,Unregistered,4,2.4,White,Black,Yes,Yes,Yes,Partial,Yes,nsw,https://www.grays.com/lot/0001-10352803/motor-vehicles-motor-cycles/2018-mitsubishi-triton-4x4-glx-mq-turbo-diesel-automatic-dual-cab,seat torn drivers seat,unclassified,[out_of_scope]
2015,jeep,grand,cherokee laredo (4x4) wk t,wagon,automatic,diesel,199808,5.0,1C4RJFEM7FC879555,DP41JY,Unregistered,6,3.0,Grey,Black,Yes,No,No,No,Yes,nsw,https://www.grays.com/lot/0001-10352804/motor-vehicles-motor-cycles/2015-jeep-grand-cherokee-laredo-4x4-wk-t-diesel-automatic-8-speed-wagon,carpet worn in places.,unclassified,[out_of_scope]
2010,ford,falcon,fg,cab chassis,automatic,lpg,203206,3.0,6FPAAAJGCMAP45685,No plates,Unregistered,6,4.0,White,Black,Yes,No,Yes,Partial,Yes,nsw,https://www.grays.com/lot/0001-10352816/motor-vehicles-motor-cycles/2010-ford-falcon-fg-automatic-cab-chassis,"corrosion visible engine bay, rear side of cab
medium scratch on front bumper bar
hood lining sagging
damaged tail light",unclassified,[out_of_scope]
2017,mitsubishi,outlander,ls awd safety pack zk,wagon,automatic,diesel,121658,7.0,JMFXLGF6WHZ001067,FRI51M,Unregistered,4,2.3,White,Black,Yes,Yes,Yes,No,Yes,nsw,https://www.grays.com/lot/0001-10352817/motor-vehicles-motor-cycles/2017-mitsubishi-outlander-ls-awd-safety-pack-zk-automatic-7-seats-wagon,"large dent on driver side rear quarter panel, passenger side doors
large scratch on front bumper bar
engine noise observed.
engine smoke visible
steering requires attention.
engine oil leak
damaged front fog light.
dpf missing.
black smoke from exhaust.
suspension requires attention.",unclassified,[out_of_scope]
2011,mercedes,benz,cl-class cl500 c216,coupe,automatic,petrol,82700,4.0,WDD2163732A028457,760IJ3,Unregistered,8,4.7,Grey,Black,Yes,Yes,Yes,Yes,No,nsw,https://www.grays.com/lot/0001-10352823/motor-vehicles-motor-cycles/2011-mercedes-benz-cl-class-cl500-c216-automatic-coupe,"flat battery. jump start or towing required
front cracked bumper.
medium dent on bonnet",unclassified,[out_of_scope]
2013,jeep,grand,cherokee laredo (4x4) wk,wagon,automatic,petrol,156387,5.0,1C4RJFEG6EC303870,DM74TS,Unregistered,6,3.6,Black,Black,Yes,Yes,Yes,Partial,Yes,nsw,https://www.grays.com/lot/0001-10352827/motor-vehicles-motor-cycles/2013-jeep-grand-cherokee-laredo-4x4-wk-automatic-8-speed-wagon,"large scratch on front bumper bar, passenger side doors
large dent on passenger side front door, front bumper bar
door mirror broken both sides
reverse camera not working
other warning light on
engine noise observed.
medium scratch on driver side rear quarter panel",unclassified,[out_of_scope]
2006,mercedes,benz,ml320cdi w164 wovr-inspected,wagon,automatic,diesel,186596,5.0,WDC1641222A145665,2AQ9GA,23-05-2026,6.0,3.0,Silver,Black Leather,Yes,No,Yes,Partial,Yes,vic,https://www.grays.com/lot/0001-21062933/motor-vehicles-motor-cycles/2006-mercedes-benz-ml320cdi-w164-turbo-diesel-wovr-inspected,"dents or marks on body consistent with age and kilometres.
medium scratch on various panels",unclassified,[out_of_scope]
2014,mini,cooper,f56 wovr-repairable,hatchback,automatic,petrol,40270,4.0,WMWXM52010T929901,No plates,Unregistered,3.0,1.5,Cream,Black,Yes,No,Yes,Partial,Yes,vic,https://www.grays.com/lot/0001-21063106/motor-vehicles-motor-cycles/2014-mini-cooper-f56-automatic-wovr-repairable,"engine noise observed.
engine idling rough
other warning light on
dents or marks on body consistent with age and kilometres.
door handle not working or broken.
engine light on
front seat worn and back seat worn",unclassified,[out_of_scope]
2013,renault,megane,coupe-cab dynamique,convertible,cvt,petrol,190239,4.0,VF1EZ1P0TD0677527,1AN3KG,27-02-2026,4,2.0,White,Black,Yes,No,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21063114/motor-vehicles-motor-cycles/2013-renault-megane-coupe-cab-dynamique-cvt-convertible,"dents or marks on body consistent with age and kilometres.
medium scratch on around vehicle
windscreen chipped or cracked.",unclassified,[out_of_scope]
2015,bmw,x5,xdrive 30d f15 wovr-repairable,wagon,automatic,diesel,114485,7.0,WBAKS420500J56992,No plates,Unregistered,6.0,3.0,White,Black Leather,Yes,No,Yes,Partial,Yes,vic,https://www.grays.com/lot/0001-21063145/motor-vehicles-motor-cycles/2015-bmw-x5-xdrive-30d-f15-turbo-diesel-automatic-wovr-repairable,"medium scuff on around vehicle
windscreen chipped or cracked.",unclassified,[out_of_scope]
2019,mitsubishi,triton,4x4 glx adas mr t d dual cab,cab chassis,automatic,diesel,53351,5.0,MMAJLKL10LH005027,1QH3YN,30-06-2026,4,2.4,White,Grey,Yes,No,Yes,Partial,Yes,vic,https://www.grays.com/lot/0001-21063184/motor-vehicles-motor-cycles/2019-mitsubishi-triton-4x4-glx-adas-mr-t-d-auto-dual-cab-ex-gov,"medium scratch on front bumper
dents or marks on body consistent with age and kilometres.",unclassified,[out_of_scope]
2016,renault,kangoo,van,van,automatic,petrol,186718,2.0,VF1FW1UBAG0734303,No plates,Unregistered,4,1.6,White,Black,Yes,No,Yes,Partial,Yes,vic,https://www.grays.com/lot/0001-21063237/motor-vehicles-motor-cycles/2016-renault-kangoo-automatic-van,"seat torn drivers
door handle not working or broken.
medium scratch on around vehicle
engine idling rough
dents or marks on body consistent with age and kilometres.",unclassified,[out_of_scope]
2012,ford,territory,ts sz,wagon,automatic,diesel,137505,7.0,6FPAAAJGATCR65356,YXO764,17-02-2026,6,2.7,Dark Blue,Black,Yes,Yes,No,No,Yes,vic,https://www.grays.com/lot/0001-21063276/motor-vehicles-motor-cycles/2012-ford-territory-ts-sz-turbo-diesel-automatic-7-seats-wagon,"carpet worn in places.
hood lining sagging
controls inoperable front and rear passenger window controls
dents or marks on body consistent with age and kilometres.
medium scratch on around vehicle",unclassified,[out_of_scope]
2014,mercedes,s400,import,sedan,automatic,hybrid,149671,5.0,WDD2220572A088011,DAW752,Unregistered,6,3.5,Silver,Black Leather,Yes,Yes,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21063293/motor-vehicles-motor-cycles/2014-mercedes-s400-import-automatic-sedan,"paint fading roof
dents or marks on body consistent with age and kilometres.",unclassified,[out_of_scope]
2017,subaru,impreza,2.0i premium g5,hatchback,cvt,petrol,157575,5.0,JF1GT7KL5HG004360,AMB220,28-03-2026,4,2.0,Grey,Black,Yes,Yes,Yes,Partial,Yes,vic,https://www.grays.com/lot/0001-21063316/motor-vehicles-motor-cycles/2017-subaru-impreza-2-0i-premium-g5-cvt-hatchback,"dents or marks on body consistent with age and kilometres.
paint fading roof",unclassified,[out_of_scope]
2015,bmw,x5,sdrive 25d f15,wagon,automatic,diesel,151142,5.0,WBAKS020000H92828,No plates,Unregistered,4,2.0,White,Black Leather,Yes,No,Yes,No,Yes,vic,https://www.grays.com/lot/0001-21063345/motor-vehicles-motor-cycles/2015-bmw-x5-sdrive-25d-f15-turbo-diesel-automatic-8-speed-wagon,"dents or marks on body consistent with age and kilometres.
door mirror broken cracked passenger mirror casing
rear cracked bumper.
medium scratch on rear bumper
other warning light on
front seat worn driver side
paint cracked rear bumper",unclassified,[out_of_scope]
2010,audi,a5,3.0 tdi quattro 8t,hatchback,automatic,diesel,235218,4.0,WAUZZZ8T2AA072679,CXO152,02-04-2026,6,3.0,White,Black Leather,Yes,No,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21063346/motor-vehicles-motor-cycles/2010-audi-a5-3-0-tdi-quattro-8t-turbo-diesel-automatic-hatchback,"parking sensors not working
dents or marks on body consistent with age and kilometres.",unclassified,[out_of_scope]
2017,toyota,camry,altise hybrid avv50r,sedan,cvt,hybrid,148861,5.0,6T1BD3FK50X158543,No plates,Unregistered,4,2.5,White,Grey,Yes,No,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21063347/motor-vehicles-motor-cycles/2017-toyota-camry-altise-hybrid-avv50r-cvt-sedan,"windscreen chipped or cracked.
dents or marks on body consistent with age and kilometres.",unclassified,[disallowed_variant]
2016,subaru,wrx,premium v1,sedan,cvt,petrol,198625,5.0,JF1VAGK85HG015338,1IK3LZ,27-03-2026,4,2.0,Blue,Black Leather,Yes,Yes,Yes,Partial,Yes,vic,https://www.grays.com/lot/0001-21063348/motor-vehicles-motor-cycles/2016-subaru-wrx-premium-v1-cvt-sedan,"dents or marks on body consistent with age and kilometres.
medium dent on driver side back door and passenger side door
medium scratch on various panels
paint fading on various panels",unclassified,[out_of_scope]
2024,mg,zs,excite,wagon,automatic,petrol,12592,5.0,LSJW74U91RZ167142,2ED7LY,16-05-2026,4,1.5,White,Black Leather,Yes,No,No,Yes,Yes,vic,https://www.grays.com/lot/0001-21063349/motor-vehicles-motor-cycles/2024-mg-zs-excite-automatic-rwc-issued-14-02-2026-wovr-inspected,dents or marks on body consistent with age and kilometres.,unclassified,[out_of_scope]
2023,volkswagen,tiguan,110tsi life 5na,wagon,automatic,petrol,43362,5.0,WVGZZZ5N6PW052936,2DO1PL,08-04-2026,4,1.4,Silver,Grey,Yes,Yes,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21063350/motor-vehicles-motor-cycles/2023-volkswagen-tiguan-110tsi-life-5na-automatic-wagon,medium scratch on around vehicle,unclassified,[out_of_scope]
2023,honda,hr-v,vi x rv,wagon,cvt,petrol,2950,4.0,JHMRV3800NS203904,DVO445,12-06-2026,4,1.5,White,Black,Yes,No,Yes,No,Yes,vic,https://www.grays.com/lot/0001-21063351/motor-vehicles-motor-cycles/2023-honda-hr-v-vi-x-rv-cvt-wagon,"medium scratch on left rear quarter
medium scuff on drivers mirror
dents or marks on body consistent with age and kilometres.",unclassified,[out_of_scope]
2013,holden,colorado,4x2 ltz rg,dual cab,automatic,diesel,252299,5.0,MMU148LK0EH613563,1GY4BN,19-04-2026,4,2.8,Grey,Grey,Yes,Yes,Yes,Partial,Yes,vic,https://www.grays.com/lot/0001-21063352/motor-vehicles-motor-cycles/2013-holden-colorado-4x2-ltz-rg-turbo-diesel-automatic-dual-cab,"medium scratch on around vehicle
windscreen chipped or cracked.",unclassified,[out_of_scope]
2006,toyota,landcruiser,prado gxl grj120r,wagon,automatic,petrol,366013,8.0,JTEBU29J905055386,No plates,Unregistered,6,4.0,Grey,Grey,Yes,No,Yes,Partial,Yes,vic,https://www.grays.com/lot/0001-21063353/motor-vehicles-motor-cycles/2006-toyota-landcruiser-prado-gxl-grj120r-automatic-8-seats-wagon,"engine light on
large scuff on around vehicle
dents or marks on body consistent with age and kilometres.",unclassified,[out_of_scope]
2006,subaru,impreza,2.0i g2,sedan,manual,petrol,254012,5.0,JF1GD9KJ37G064973,UMB333,14-11-2026,4,2.0,Silver,Grey,Yes,Yes,Yes,Partial,Yes,vic,https://www.grays.com/lot/0001-21063355/motor-vehicles-motor-cycles/2006-subaru-impreza-2-0i-g2-manual-sedan,"engine light on
front seat stains both
paint peeling around vehicle
medium scuff on around vehicle
medium scratch on around vehicle
dents or marks on body consistent with age and kilometres.",unclassified,[out_of_scope]
2012,mitsubishi,lancer,lx cj,sedan,cvt,petrol,213536,5.0,JMFSTCY4ADU001856,ZKW719,13-03-2026,4,2.0,Grey,Black Leather,Yes,No,Yes,Partial,Yes,vic,https://www.grays.com/lot/0001-21063356/motor-vehicles-motor-cycles/2012-mitsubishi-lancer-lx-cj-cvt-sedan,"medium scratch on around vehicle
paint peeling spoiler
seat torn driver side
dents or marks on body consistent with age and kilometres.",unclassified,[out_of_scope]
2010,kia,cerato,si td,hatchback,manual,petrol,285988,5.0,KNAFT512LB5361887,YDQ760,23-02-2026,4,2.0,Silver,Black,Yes,No,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21063358/motor-vehicles-motor-cycles/2010-kia-cerato-si-td-manual-hatchback,"engine noise observed.
windscreen chipped or cracked.
dents or marks on body consistent with age and kilometres.
medium dent on bonnet
damaged brake light driver side
medium scuff on rear bumper
paint peeling around vehicle",unclassified,[out_of_scope]
2018,holden,commodore,liftback lt zb,hatchback,automatic,diesel,206306,5.0,W0VZM6EG5J1109317,1QM4WY,08-11-2026,4,2.0,White,Black,Yes,Yes,Yes,Partial,Yes,vic,https://www.grays.com/lot/0001-21063361/motor-vehicles-motor-cycles/2018-holden-commodore-liftback-lt-zb-turbo-diesel-auto-8-speed-hatchback,"medium dent on around vehicle
windscreen chipped or cracked.
dents or marks on body consistent with age and kilometres.",unclassified,[out_of_scope]
2006,subaru,impreza,2.0i g2,hatchback,automatic,petrol,171379,5.0,JF1GG9KR57G035764,UMB423,27-02-2026,4,2.0,Black,Multi,Yes,No,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21063362/motor-vehicles-motor-cycles/2006-subaru-impreza-2-0i-g2-automatic-hatchback,"front seat worn drivers
large scuff on around vehicle
paint fading around vehicle",unclassified,[out_of_scope]
2014,nissan,pathfinder,st-l hybrid r52,wagon,cvt,hybrid,100086,7.0,5N1CR2MM4EC689196,1ON7UZ,03-08-2026,4,2.5,Silver,Black Leather,Yes,Yes,Yes,Partial,Yes,vic,https://www.grays.com/lot/0001-21063363/motor-vehicles-motor-cycles/2014-nissan-pathfinder-st-l-hybrid-r52-cvt-7-seats-wagon,"medium scratch on front passenger side
dents or marks on body consistent with age and kilometres.
front seat worn driver seat",unclassified,[out_of_scope]
2015,ford,ranger,xl 4x2 hi-rider px,crew cab chassis,automatic,diesel,231620,5.0,MNAUMEF80FW415325,1EK1BP,27-04-2026,4,2.2,White,Grey,Yes,No,Yes,Partial,Yes,vic,https://www.grays.com/lot/0001-21063365/motor-vehicles-motor-cycles/2015-ford-ranger-xl-4x2-hi-rider-px-turbo-diesel-automatic-crew-cab-chassis,"back seat stains.
windscreen chipped or cracked.
front bumper cracked bumper.
dents or marks on body consistent with age and kilometres.
medium scuff on around vehicle",unclassified,[out_of_scope]
2010,suzuki,swift,ez,hatchback,automatic,petrol,246633,5.0,JSAEZC21S00565207,1XE8DY,15-01-2027,4,1.5,White,Grey,Yes,No,Yes,Partial,Yes,vic,https://www.grays.com/lot/0001-21063366/motor-vehicles-motor-cycles/2010-suzuki-swift-ez-automatic-hatchback,"seat torn passenger seat
front seat stains both
dents or marks on body consistent with age and kilometres.
windscreen chipped or cracked.
medium scuff on around vehicle",unclassified,[out_of_scope]
2010,volkswagen,golf,gti a6,hatchback,automatic,petrol,337493,5.0,WVWZZZ1KZAW347575,XSF177,07-03-2026,4,2.0,Red,Black Leather,Yes,Yes,Yes,Partial,Yes,vic,https://www.grays.com/lot/0001-21063367/motor-vehicles-motor-cycles/2010-volkswagen-golf-gti-a6-automatic-hatchback,"windscreen chipped or cracked.
medium scuffs around vehicle
exterior light fault warning light on
dents or marks on body consistent with age and kilometres.
damaged front fog light",unclassified,[out_of_scope]
2016,nissan,pathfinder,st-l r52,wagon,cvt,petrol,153918,7.0,5N1AR2MM6GC672765,1KU8BJ,03-08-2026,6,3.5,Blue,Black Leather,Yes,Yes,Yes,Partial,Yes,vic,https://www.grays.com/lot/0001-21063368/motor-vehicles-motor-cycles/2016-nissan-pathfinder-st-l-r52-cvt-7-seats-wagon,"large scuff on around vehicle
dents or marks on body consistent with age and kilometres.",unclassified,[out_of_scope]
2007,volkswagen,passat,2.0 tfsi 3c,wagon,automatic,petrol,216961,5.0,WVWZZZ3CZ7E187531,UWD227,16-07-2026,4,2.0,Gold,Black,Yes,No,Yes,Partial,Yes,vic,https://www.grays.com/lot/0001-21063369/motor-vehicles-motor-cycles/2007-volkswagen-passat-2-0-tfsi-3c-automatic-wagon,"medium scuff on around vehicle
damaged around vehicle",unclassified,[out_of_scope]
2012,mercedes,benz,b-class b200 be w246 (wovr-repairable),hatchback,automatic,petrol,221990,5.0,WDD2462432J055443,ACI438,24-03-2026,4,1.6,Silver,Black Leather,Yes,No,Yes,Partial,Yes,vic,https://www.grays.com/lot/0001-21063370/motor-vehicles-motor-cycles/2012-mercedes-benz-b-class-b200-be-w246-auto-hatchback-wovr-repairable,"dents or marks on body consistent with age and kilometres.
paint fading roof
flat battery. jump start or towing required
seat torn drivers",unclassified,[out_of_scope]
2016,mitsubishi,pajero,sport gls qe t,wagon,automatic,diesel,194037,7.0,MMAGUKS10GH005840,1KD6AF,15-10-2026,4,2.4,Brown,Black Leather,Yes,Yes,Yes,Partial,Yes,vic,https://www.grays.com/lot/0001-21063371/motor-vehicles-motor-cycles/2016-mitsubishi-pajero-sport-gls-qe-t-diesel-auto-8-speed-7-seats-wagon,"medium scratch on around vehicle
medium dent on around vehicle",unclassified,[out_of_scope]
2010,mitsubishi,outlander,ls 2wd zh,wagon,manual,petrol,284204,5.0,JMFXNCW5WBU000638,YAM570,02-06-2026,4,2.4,White,Black,Yes,Yes,Yes,Partial,Yes,vic,https://www.grays.com/lot/0001-21063372/motor-vehicles-motor-cycles/2010-mitsubishi-outlander-ls-2wd-zh-manual-wagon,"stains on seats.seat torn drivers
large dents, scuffs and scratches around vehicle
corrosion visible around vehicle
dents or marks on body consistent with age and kilometres.",unclassified,[out_of_scope]
2012,jeep,grand,cherokee laredo wk,wagon,automatic,diesel,375947,5.0,1C4RJFEM1DC621531,ZMF052,12-02-2026,6,3.0,Silver,Black,Yes,Yes,Yes,Partial,Yes,vic,https://www.grays.com/lot/0001-21063373/motor-vehicles-motor-cycles/2012-jeep-grand-cherokee-laredo-wk-turbo-diesel-automatic-wagon,"front seat stains both
dents or marks on body consistent with age and kilometres.
medium scratch on around vehicle",unclassified,[out_of_scope]
2013,jeep,compass,limited,wagon,automatic,petrol,228516,5.0,1C4NJDDB7ED640941,1BZ8QE,02-03-2026,4,2.4,White,Black Leather,Yes,Yes,Yes,Partial,Yes,vic,https://www.grays.com/lot/0001-21063375/motor-vehicles-motor-cycles/2013-jeep-compass-limited-automatic-wagon,dents or marks on body consistent with age and kilometres.,unclassified,[out_of_scope]
2015,volkswagen,golf,alltrack 132tsi a7,wagon,automatic,petrol,150373,5.0,WVWZZZAUZGP510479,2CG5HZ,22-03-2026,4,1.8,Silver,Black Leather,Yes,Yes,No,Yes,Yes,vic,https://www.grays.com/lot/0001-21063376/motor-vehicles-motor-cycles/2015-volkswagen-golf-alltrack-132tsi-a7-automatic-wagon,"other warning light on
airbag light on
medium scratch on around vehicle
paint fading on various panels
dents or marks on body consistent with age and kilometres.",unclassified,[out_of_scope]
2008,mazda,cx-9,luxury,wagon,automatic,petrol,256523,7.0,JM0TB10A100107292,WMB786,30-03-2026,6,3.7,Blue,Tan Leather,Yes,Yes,Yes,Partial,Yes,vic,https://www.grays.com/lot/0001-21063377/motor-vehicles-motor-cycles/2008-mazda-cx-9-luxury-automatic-7-seats-wagon,"large scuff on around vehicle
large scratch on around vehicle
engine light on
seat torn both front seats
windscreen chipped or cracked.",unclassified,[out_of_scope]
2012,holden,cruze,cdx jh,sedan,automatic,petrol,255605,5.0,6G1PE5E58CL624404,2DT2WI,30-04-2026,4,1.8,Black,Black Leather,Yes,No,Yes,Partial,Yes,vic,https://www.grays.com/lot/0001-21063378/motor-vehicles-motor-cycles/2012-holden-cruze-cdx-jh-automatic-sedan,"medium scuff on around vehicle
medium dent on front quarter panel passenger side
windscreen chipped or cracked.
door card worn.
dents or marks on body consistent with age and kilometres.",unclassified,[out_of_scope]
