match_tag,base_curve_tag,group_status,reason
holden_commodore_evoke_petrol_auto_sedan_vf,holden_commodore_evoke_vf_sedan_auto_petrol,active,Direct Commodore VF Evoke petrol automatic sedan mapping
holden_commodore_sv6_petrol_auto_sedan_vf,holden_commodore_sv6_vf_sedan_auto_petrol,active,Direct Commodore VF SV6 petrol automatic sedan mapping
holden_commodore_evoke_petrol_auto_wagon_vf,holden_commodore_evoke_vf_wagon_auto_petrol,active,Direct Commodore VF Evoke petrol automatic wagon mapping
holden_commodore_sv6_petrol_auto_wagon_vf,holden_commodore_sv6_vf_wagon_auto_petrol,active,Direct Commodore VF SV6 petrol automatic wagon mapping
holden_commodore_omega_petrol_auto_sedan_ve,holden_commodore_omega_ve_sedan_auto_petrol,active,Direct Commodore VE Omega petrol automatic sedan mapping
holden_commodore_sv6_petrol_auto_sedan_ve,holden_commodore_sv6_ve_sedan_auto_petrol,active,Direct Commodore VE SV6 petrol automatic sedan mapping
holden_commodore_omega_petrol_auto_wagon_ve,holden_commodore_omega_ve_wagon_auto_petrol,active,Direct Commodore VE Omega petrol automatic wagon mapping
holden_commodore_sv6_petrol_auto_wagon_ve,holden_commodore_sv6_ve_wagon_auto_petrol,active,Direct Commodore VE SV6 petrol automatic wagon mapping
holden_commodore_omega_petrol_auto_sedan_ve-series-ii,holden_commodore_omega_ve-series-ii_sedan_auto_petrol,active,Direct Commodore VE Series II Omega petrol automatic sedan mapping
holden_commodore_omega_petrol_auto_wagon_ve-series-ii,holden_commodore_omega_ve-series-ii_wagon_auto_petrol,active,Direct Commodore VE Series II Omega petrol automatic wagon mapping
