year,make,model,variant,body_type,no_of_seats,build_date,compliance_date,vin,rego_no,rego_state,rego_expiry,no_of_plates,no_of_cylinders,engine_capacity,fuel_type,transmission,odometer_reading,odometer_unit,exterior_colour,interior_colour,key,spare_key,owners_manual,service_history,engine_turns_over,location,url,general_condition,features_list,final_price,final_bids,date_sold,status,bids,price,sale_price,time_remaining_or_date_sold
2017.0,Thumpstar,Model,Motorcycle,,,,,17KYB125YX009010,,,,,,,,,,km,,,No,No,,No,Yes,,https://www.grays.com/lot/0001-9058040/motor-vehicles-motor-cycles/2017-thumpstar-model-motorcycle,,,,,2025-03-25,sold,5.0,$409,$409,
,PT,Cruiser,Classic Automatic Hatchback,Hatchback,5,Unable to locate,01-2006,1A8F4B8B46T227238,No plates,VIC,"Sold Unregistered, Without Plates",0.0,4,2.4,Petrol,Automatic,162827,km,Red,Grey,Yes,Yes,No,No,Yes,,https://www.grays.com/lot/0001-21052339/motor-vehicles-motor-cycles/chrysler-pt-cruiser-classic-automatic-hatchback,"Flat Battery. Jump start or towing required
Dents or marks on body consistent with age and kilometres.
Back Seat Stains.","Air Conditioning, CD Player, Central Locking, Cruise Control, Driver Airbag, Electric Windows, Power Steering, Roof Rail, Location: 1190 SOMERTON ROAD, OAKLANDS JUNCTION, VIC 3064",,,2025-07-16,sold,12.0,$509,$509,
,PT,Cruiser,Grand Tourer Automatic Hatchback,Hatchback,5,Unable to locate,01-2008,1A8F4B8B87T552069,No plates,VIC,"Sold Unregistered, Without Plates",0.0,4,2.4,Petrol,Automatic,282830,km,Cream,Grey,Yes,No,Yes,Yes,Yes,,https://www.grays.com/lot/0001-21052337/motor-vehicles-motor-cycles/chrysler-pt-cruiser-grand-tourer-automatic-hatchback,"Dents or marks on body consistent with age and kilometres.
Dents or marks on body consistent with age and kilometres.
Front Seat worn Drivers seat damaged","Air Conditioning, CD Player, Central Locking, Cruise Control, Driver Airbag, Electric Windows, MP3 Capability, Park Distance Control Rear, Power Steering, Roof Rail, Sunroof, Location: 1190 SOMERTON ROAD, OAKLANDS JUNCTION, VIC 3064",,,2025-07-16,sold,10.0,$909,$909,
,PT,Cruiser,Grand Tourer Automatic Hatchback,Hatchback,5,Unable to locate,2008-08,1A8F4B8B88T176992,Unable to locate,VIC,"Sold Unregistered, Without Plates",0.0,4,2.4,Petrol,Automatic,166606,km,Cream,Grey,Yes,No,Yes,Yes,Yes,,https://www.grays.com/lot/0001-21052340/motor-vehicles-motor-cycles/chrysler-pt-cruiser-grand-tourer-automatic-hatchback,"Flat Battery. Jump start or towing required
front bumper Cracked bumper.
Dents or marks on body consistent with age and kilometres.
Dents or marks on body consistent with age and kilometres.
Dents or marks on body consistent with age and kilometres.
Dents or marks on body consistent with age and kilometres.
Engine light ON
Front Seat Stains Passenger seat","Air Conditioning, CD Player, Central Locking, Cruise Control, Driver Airbag, Electric Windows, MP3 Capability, Park Distance Control Rear, Power Steering, Roof Rail, Location: 1190 SOMERTON ROAD, OAKLANDS JUNCTION, VIC 3064",,,2025-07-16,sold,12.0,"$1,057","$1,057",
2005.0,Chrysler,PT,Cruiser Classic Manual Hatchback,Hatchback,5,2005-09,2006-01,1A8F4N8B26T227210,1EAD394,WA,19-08-2025 - Registration will only be transferred to the registered bidder who must hold a valid WA Licence otherwise vehicle will be sold unregistered. Vehicle Sold Without Roadworthy,2.0,4,2.4,Petrol,Manual,187000,km,Red,Grey,Yes,No,Yes,Partial,Yes,WA,https://www.grays.com/lot/0001-9061675/motor-vehicles-motor-cycles/2005-chrysler-pt-cruiser-classic-manual-hatchback,"Medium Scratch on Passenger side rear panel
Paint fading various panels","Air Conditioning, CD Player, Central Locking, Driver Airbag, Electric Windows, Power Steering, Roof Rail, Location: 6 Spartan Street, Jandakot, WA, 6164, Key No: 50D",,,2025-07-22,sold,12.0,"$1,050","$1,050",
2008.0,Chrysler,Grand,Voyager Limited RT T/Diesel Auto 7 Seats People Mover,People Mover,7,2008-09,2009-10,1A8HTH4579B514579,BMD29E,NSW,"Sold Unregistered, Without Plates",0.0,4,2.8,Diesel,Automatic,226993,km,Dark Blue,Black Leather,Yes,Yes,Yes,Yes,Yes,NSW,https://www.grays.com/lot/0001-10911072/motor-vehicles-motor-cycles/2008-chrysler-grand-voyager-limited-rt-t-diesel-auto-7-seats-people-mover,"Paint fading Bonnet, roof, top roof rails, tailgate,
Dents or marks on body consistent with age and kilometres.","CD Player, Central Locking, Climate Control, Cruise Control, Driver Airbag, Electric Windows, Leather Trim, MP3 Capability, Power Steering, Reversing Camera, Satellite navigation system, Sunroof, Third Row Seat, Crash Test Star Rating 2, Location: 46 Clyde Street, Hamilton North, NSW, 2292",,,2025-05-11,sold,19.0,"$2,000","$2,000",
2008.0,Chrysler,Grand,Voyager LX RT T/D Auto 7 Seats People Mover,People Mover,7.0,2008-04,Unable to locate,1A8HTH4988B174232,1GOC005,WA,14-01-2026 - Registration will only be transferred to the registered bidder who must hold a valid WA Licence otherwise vehicle will be sold unregistered. Vehicle Sold Without Roadworthy,2.0,4,2.8,Diesel,Automatic,209625,km,Black,Grey,Yes,No,No,Partial,Yes,WA,https://www.grays.com/lot/0001-9064221/motor-vehicles-motor-cycles/2008-chrysler-grand-voyager-lx-rt-t-d-auto-7-seats-people-mover,"Dents or marks on body consistent with age and kilometres.
Medium Scuff on Various panels
Door card Worn.
Windscreen Chipped or Cracked.
Traction control light ON
Other Warning light ON
Dents or marks on body consistent with age and kilometres.
Paint fading Various panels
Seat Torn Drivers seat","Air Conditioning, Central Locking, Climate Control, Electric Windows, Power Steering, Roof Rail, Third Row Seat, Crash Test Star Rating 2, Location: 6 Spartan Street, Jandakot, WA, 6164, Key No: 41F (360674)",,,,sold,17.0,1200.0,1200.0,
2011.0,Dodge,Caliber,SXT CVT Hatchback,Hatchback,5,2011-06,2011-09,1B3C34HA0BD293405,1IBJ690,WA,30-07-2025 - Registration will only be transferred to the registered bidder who must hold a valid WA Licence otherwise vehicle will be sold unregistered. Vehicle Sold Without Roadworthy,2.0,4,2,Petrol,CVT,269528,km,Orange,Grey,Yes,Yes,No,Partial,Yes,WA,https://www.grays.com/lot/0001-9061750/motor-vehicles-motor-cycles/2011-dodge-caliber-sxt-cvt-hatchback,"Front Seat worn driver
Large Dent on rear bumper
Paint cracked rear bumper
Medium Scuff on various panels","Air Conditioning, CD Player, Central Locking, Cruise Control, Driver Airbag, Electric Windows, MP3 Capability, Power Steering, Roof Rail, Crash Test Star Rating 4, Location: 6 Spartan Street, Jandakot, WA, 6164, Key No: 39E",,,2025-07-23,sold,20.0,"$1,909","$1,909",
2011.0,Dodge,Caliber,SXT CVT Hatchback,Hatchback,5.0,Unable to locate,2011-10,1B3C34HA5BD293416,1DTI281,WA,30-10-2025 - Registration will only be transferred to the registered bidder who must hold a valid WA Licence otherwise vehicle will be sold unregistered. Vehicle Sold Without Roadworthy,2.0,4,2,Petrol,CVT,231303,km,Grey,Grey,Yes,No,Yes,Partial,Yes,WA,https://www.grays.com/lot/0001-9064493/motor-vehicles-motor-cycles/2011-dodge-caliber-sxt-cvt-hatchback,"Dents or marks on body consistent with age and kilometres.
Medium Scuff on Front Bumper Passenger Side
Corrosion visible Roof Rack, Tow Ball, Under Chassis
Airbag light ON
Windscreen Chipped or Cracked.","Air Conditioning, Driver Airbag, Electric Windows, Power Steering, Crash Test Star Rating 4, Location: 6 Spartan Street, Jandakot, WA, 6164, Key No: 32A",,,,sold,19.0,909.0,909.0,
2006.0,Dodge,Caliber,SX CVT Hatchback,Hatchback,5,2006-05,2006-08,1B3H328B77D546066,No plates,WA,"Sold Unregistered, Without Plates",0.0,4,2,Petrol,CVT,0,km,Silver,Grey,No,No,No,No,No,WA,https://www.grays.com/lot/0001-9058130/motor-vehicles-motor-cycles/2006-dodge-caliber-sx-cvt-hatchback,"Dents or marks on body consistent with age and kilometres.
Flat Battery. Jump start or towing required
Large Dent on rear bumper
Door Mirror Broken passenger side","Air Conditioning, CD Player, Central Locking, Cruise Control, Driver Airbag, Electric Windows, MP3 Capability, Power Steering, Roof Rail, Crash Test Star Rating 4, Location: 6 Spartan Street, Jandakot, WA, 6164, Key No: TB0, VI031124045015926",,,2025-03-26,sold,5.0,$409,$409,
2007.0,Dodge,Caliber,SXT Automatic Hatchback,Hatchback,5,03/2007,,1B3H348B77D261573,,,"Sold Unregistered, Without Plates",,881JZE,,,Automatic,"176,602 Kms",km,Silver,,,,,,,QLD,https://www.grays.com/lot/0001-50712223/motor-vehicles-motor-cycles/2007-dodge-caliber-sxt-automatic-hatchback,"Exterior Damage: scratches. marks. stone chips, etc.;",,,,2025-07-01,sold,5.0,$409,$409,
2000.0,Dodge,Durango,SLT(Import) Automatic Wagon,,5,2000-04,2025-07,1B4HS28Z7YF261997,,,"Sold Unregistered, Without Plates",0.0,8,5.89,Premium Unleaded,Automatic - 4 Speed,66734,km,White,Black,Yes,No,Yes,Yes,Yes,QLD,https://www.grays.com/lot/0001-50712820/motor-vehicles-motor-cycles/2000-dodge-durango-slt-import-automatic-wagon,"Door card Worn.
Hood Lining Sagging","Air Conditioning, Central Locking, Cruise Control, Driver Airbag, Electric Windows, Power Steering, Reverse Camera, Roof Rail, Location: 131-153 Main Beach Road, Pinkenba, QLD, 4008, Key No: K-544 GV352613",,,2025-08-25,sold,69.0,"$5,300","$5,300",
2007.0,Chrysler,Sebring,Touring JS Automatic Sedan,Sedan,5,2007-01,2007-07,1C3A4B6K47N560425,XRZ529,VIC,03-08-2025 - Registration will only be transferred to the registered bidder who must hold a valid VIC Drivers Licence otherwise vehicle will be sold unregistered.,2.0,4,2.4,Petrol,Automatic,210911,km,Silver,Beige Leather,Yes,Yes,Yes,No,Yes,VIC,https://www.grays.com/lot/0001-21049330/motor-vehicles-motor-cycles/2007-chrysler-sebring-touring-js-automatic-sedan,"Large Scuff on Various parts of panel
Medium Scratch on Various parts of panel
Dents or marks on body consistent with age and kilometres.
Paint cracked Various parts panel
Airbag light ON","Air Conditioning, Bluetooth Capability, CD Player, Central Locking, Climate Control, Cruise Control, Driver Airbag, Electric Windows, Heated Front Seats, Leather Trim, MP3 Capability, Power Steering, Location: 140-152 National Drive, Dandenong South, VIC, 3175, Key No: 1003 (347646)",,,2025-05-26,sold,11.0,"$1,009","$1,009",
2008.0,Chrysler,Sebring,Cabrio Limited JS Automatic Convertible,Convertible,5,2008-09,2009-08,1C3A4F5D79N524242,No plates,VIC,"Sold Unregistered, Without Plates",0.0,6,2.7,Petrol,Automatic,96498,km,Gold,Black,Yes,No,No,No,Yes,VIC,https://www.grays.com/lot/0001-21047426/motor-vehicles-motor-cycles/2008-chrysler-sebring-cabrio-limited-js-automatic-convertible,"Dents or marks on body consistent with age and kilometres.
Front Seat worn Drivers","Air Conditioning, CD Player, Central Locking, Climate Control, Cruise Control, Driver Airbag, Electric Windows, Heated Front Seats, Leather Trim, MP3 Capability, Power Steering, Location: 140-152 National Drive, Dandenong South, VIC, 3175, Key No: 320 (344399)",,,2025-04-20,sold,20.0,"$2,250","$2,250",
2007.0,Chrysler,Sebring,CABRIO TOURING JS Automatic Convertible,Convertible,4,2007-12,2008-02,1C3A4F5R48N194702,GP1954,VIC,"Sold Unregistered, Without Plates",0.0,6,2.7,Petrol,Automatic,90977,km,Silver,Grey,Yes,Yes,No,No,Yes,VIC,https://www.grays.com/lot/0001-21049924/motor-vehicles-motor-cycles/2007-chrysler-sebring-cabrio-touring-js-automatic-convertible,"Front Seat Stains Driver & Passenger
Paint peeling Bonnet
Medium Scratch on Driver Side Rear Guard
Medium Scratch on Rear Bumper
Dents or marks on body consistent with age and kilometres.","Air Conditioning, Bluetooth Capability, CD Player, Central Locking, Climate Control, Cruise Control, Driver Airbag, Electric Windows, MP3 Capability, Power Steering, Location: 140-152 National Drive, Dandenong South, VIC, 3175, Key No: 1003 (348349)",,,2025-06-03,sold,10.0,$909,$909,
2008.0,Chrysler,Sebring,Limited JS Automatic Convertible,Convertible,4,2008-06,2008-10,1C3A4F5RX8N291127,1IMU427,WA,11-05-2025 - Registration will only be transferred to the registered bidder who must hold a valid WA Licence otherwise vehicle will be sold unregistered. Vehicle Sold Without Roadworthy,2.0,6,2.7,Petrol,Automatic,171556,km,Black,Grey,Yes,Yes,No,No,Yes,WA,https://www.grays.com/lot/0001-9058694/motor-vehicles-motor-cycles/2008-chrysler-sebring-limited-js-automatic-convertible,"Paint cracked Roof &amp;amp;amp; Bonnet
Passenger Side Cracked bumper.
Traction control light ON
Paint fading various panels","Air Conditioning, CD Player, Central Locking, Climate Control, Cruise Control, Driver Airbag, Electric Windows, Leather Trim, MP3 Capability, Power Steering, Location: 6 Spartan Street, Jandakot, WA, 6164, Key No: 23F",,,2025-04-15,sold,8.0,$609,$609,
2010.0,Chrysler,Sebring,Cabrio Limited JS Automatic Convertible,Convertible,4,2010-06,2010-11,1C3B46ED0AN196431,,,"Sold Unregistered, Without Plates",2.0,6,2.7,Petrol,Automatic,190968,km,Silver,Black Leather,Yes,Yes,Yes,Yes,Yes,QLD,https://www.grays.com/lot/0001-50514585/motor-vehicles-motor-cycles/2010-chrysler-sebring-cabrio-limited-js-automatic-convertible,"Medium Scratch on Rh rear quarter
Rear bumper Cracked bumper.
Medium Dent on Lh rear quarter x3
Large Scratch on Lh front bumper
Large Scuff on Rh front bumper and guard
Front Seat Stains Passenger seat
Front Seat worn Driver seat","Air Conditioning, Bluetooth Capability, CD Player, Central Locking, Climate Control, Cruise Control, Driver Airbag, Electric Windows, Heated Front Seats, Leather Trim, MP3 Capability, Park Distance Control Rear, Power Steering, Location: 131-153 Main Beach Road, Pinkenba, QLD, 4008, Key No: K-1043 GV341726",,,2025-04-02,sold,12.0,"$1,409","$1,409",
2010.0,Chrysler,300C,3.5 V6 LE Automatic Sedan,Sedan,5,2010-02,2010-05,1C3C96CV9AY105236,YAZ322,VIC,15-11-2025 - Registration will only be transferred to the registered bidder who must hold a valid VIC Drivers Licence otherwise vehicle will be sold unregistered.,2.0,6,3.5,Petrol,Automatic,226700,km,Grey,Black,Yes,Yes,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21045810/motor-vehicles-motor-cycles/2010-chrysler-300c-3-5-v6-le-automatic-sedan,"Medium Scratch on Front bumper, front fender, bonnet, rear bumper
Dents or marks on body consistent with age and kilometres.","Air Conditioning, Bluetooth Capability, CD Player, Central Locking, Climate Control, Cruise Control, Driver Airbag, Electric Windows, Heated Front Seats, Leather Trim, MP3 Capability, Park Distance Control Rear, Power Steering, Location: 140-152 National Drive, Dandenong South, VIC, 3175, Key No: 1095D (342003)",,,2025-03-26,sold,39.0,"$3,010","$3,010",
2010.0,Chrysler,300C,SRT8 LE Automatic Sedan,Sedan,5,2010-02,2011-01,1C3C97CW8AY105422,1EIJ908,WA,28-04-2025 - Registration will only be transferred to the registered bidder who must hold a valid WA Licence otherwise vehicle will be sold unregistered. Vehicle Sold Without Roadworthy,2.0,8,6.1,Petrol,Automatic,271491,km,Black,Black Leather,Yes,No,Yes,Yes,Yes,WA,https://www.grays.com/lot/0001-9058601/motor-vehicles-motor-cycles/2010-chrysler-300c-srt8-le-automatic-sedan,"Engine idling rough
Seat Torn Driver’s
Dents or marks on body consistent with age and kilometres.
Front (disjointed) Cracked bumper.
Medium Scuff on Various panels","Air Conditioning, CD Player, Central Locking, Climate Control, Cruise Control, Driver Airbag, Electric Windows, Heated Front Seats, Leather Trim, MP3 Capability, Park Distance Control Rear, Power Steering, Roof Rail, Location: 6 Spartan Street, Jandakot, WA, 6164, Key No: 12F",,,2025-04-10,sold,111.0,"$8,500","$8,500",
2011.0,Dodge,Caliber,SXT CVT Hatchback,Hatchback,5,2011-10,2012-07,1C3CDWJA4CD519694,AVJ021,VIC,09-10-2025 - Registration will only be transferred to the registered bidder who must hold a valid VIC Drivers Licence otherwise vehicle will be sold unregistered.,2.0,4,2,Petrol,CVT,157589,km,Black,Black,Yes,Yes,Yes,No,Yes,VIC,https://www.grays.com/lot/0001-21049173/motor-vehicles-motor-cycles/2011-dodge-caliber-sxt-cvt-hatchback,"Engine light ON
Dents or marks on body consistent with age and kilometres.
Medium Scratch on Around the car","Air Conditioning, CD Player, Central Locking, Cruise Control, Driver Airbag, Electric Windows, MP3 Capability, Power Steering, Crash Test Star Rating 4, Location: 140-152 National Drive, Dandenong South, VIC, 3175, Key No: 275 (347328)",,,2025-05-21,sold,15.0,"$1,209","$1,209",
2006.0,Chrysler,300C,CRD LE Turbo Diesel Automatic Sedan,Sedan,5,2006-10,2007-06,1C3H9E3D37Y519564,,,"Sold Unregistered, Without Plates",0.0,6,3,Diesel,Automatic,277103,km,Blue,Grey,Yes,Yes,Yes,Yes,Yes,QLD,https://www.grays.com/lot/0001-50711200/motor-vehicles-motor-cycles/2006-chrysler-300c-crd-le-turbo-diesel-automatic-sedan,"Paint peeling Multiple panels
Dents or marks on body consistent with age and kilometres.
Medium Dent on Lh front guard
Large Scratch on Lh front guard
Windscreen Chipped or Cracked.
Hail damage visible.","Air Conditioning, Bluetooth Capability, CD Player, Central Locking, Climate Control, Cruise Control, Driver Airbag, Electric Windows, Heated Front Seats, Leather Trim, MP3 Capability, Park Distance Control Rear, Power Steering, Reversing Camera, Sunroof, Location: 131-153 Main Beach Road, Pinkenba, QLD, 4008, Key No: K-743 GV339969",,,2025-03-11,sold,28.0,"$2,810","$2,810",
2006.0,Chrysler,300C,5.7 Hemi V8 LE Automatic Sedan,Sedan,5,2006,2006-07,1C3H9E3H06Y160031,1CNB932,WA,03-08-2025 - Registration will only be transferred to the registered bidder who must hold a valid WA Licence otherwise vehicle will be sold unregistered. Vehicle Sold Without Roadworthy,2.0,8,5.7,Petrol,Automatic,226319,km,Silver,Cream Leather,Yes,Yes,No,No,No,WA,https://www.grays.com/lot/0001-9059724/motor-vehicles-motor-cycles/2006-chrysler-300c-5-7-hemi-v8-le-automatic-sedan,"Dents or marks on body consistent with age and kilometres.
Seat Torn Driver Seat","Air Conditioning, CD Player, Central Locking, Climate Control, Cruise Control, Driver Airbag, Electric Windows, Leather Trim, MP3 Capability, Power Steering, Location: 6 Spartan Street, Jandakot, WA, 6164, Key No: 30B",,,2025-05-20,sold,20.0,"$2,000","$2,000",
2006.0,Chrysler,300C,5.7 Hemi V8 LE Automatic Sedan,Sedan,5,Unable to locate,2006-04,1C3H9E3H16Y137826,CH95HS,NSW,"Sold Unregistered, Without Plates",,8,5.7,Petrol,Automatic,270642,km,Black,Grey,Yes,No,No,No,Yes,NSW,https://www.grays.com/lot/0001-10347799/motor-vehicles-motor-cycles/2006-chrysler-300c-5-7-hemi-v8-le-automatic-sedan,"Dents or marks on body consistent with age and kilometres.
Paint fading Passenger side front guard
Hood Lining Sagging
Other Warning light ON
Seat Torn Drivers seat
Controls inoperable Drivers electric seat adjustment requires attention","Air Conditioning, Bluetooth Capability, CD Player, Central Locking, Climate Control, Cruise Control, Driver Airbag, Electric Windows, Heated Front Seats, Leather Trim, MP3 Capability, Park Distance Control Rear, Power Steering, Sunroof, Location: Rear of 5 Holbeche Road, Arndell Park, NSW, 2148, Key No: 19",,,2025-03-24,sold,46.0,"$3,501","$3,501",
2009.0,Chrysler,300C,5.7 Hemi V8 LE Automatic Sedan,Sedan,5,2009-01,2009-05,1C3H9E3T89Y505704,No plates,WA,"Sold Unregistered, Without Plates",0.0,8,5.7,Petrol,Automatic,122562,km,Black,Black Leather,Yes,Yes,No,No,Yes,WA,https://www.grays.com/lot/0001-9059582/motor-vehicles-motor-cycles/2009-chrysler-300c-5-7-hemi-v8-le-automatic-sedan,"Traction control light ON
Other Warning light ON
Seat Torn driver
Dents or marks on body consistent with age and kilometres.
Medium Dent on various panels","Air Conditioning, CD Player, Central Locking, Climate Control, Cruise Control, Driver Airbag, Electric Windows, Leather Trim, MP3 Capability, Power Steering, Location: 6 Spartan Street, Jandakot, WA, 6164, Key No: 16f",,,2025-05-14,sold,40.0,"$3,600","$3,600",
2008.0,Chrysler,300C,SRT8 LE Automatic Sedan,Sedan,5,2008-03,2009-06,1C3H9E3W48Y120584,1ZA2TX,VIC,30-08-2025 - Registration will only be transferred to the registered bidder who must hold a valid VIC Drivers Licence otherwise vehicle will be sold unregistered.,2.0,8,6.1,Petrol,Automatic,172847,km,Blue,Black,Yes,No,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21052278/motor-vehicles-motor-cycles/2008-chrysler-300c-srt8-le-automatic-sedan,Dents or marks on body consistent with age and kilometres.,"Air Conditioning, Bluetooth Capability, CD Player, Central Locking, Climate Control, Cruise Control, Driver Airbag, Electric Windows, Heated Front Seats, Leather Trim, MP3 Capability, Park Distance Control Rear, Power Steering, Roof Rail, Sunroof, Location: 140-152 National Drive, Dandenong South, VIC, 3175, Key No: 1036 (351840)",,,2025-07-15,sold,62.0,"$12,500","$12,500",
