year,make,model,variant,body_type,transmission,fuel_type,odometer_reading,no_of_seats,vin,rego_no,rego_expiry,no_of_cylinders,engine_capacity,exterior_colour,interior_colour,key,spare_key,owners_manual,service_history,engine_turns_over,location,url,general_condition,bids,price,date_sold
2008,NISSAN,Patrol,Y61 Commercial 4WD,Ute,Manual,Diesel,419573,3.0,JN1UELY61A0500633,No plates,Unregistered,4,,White,Brown,Yes,,No,No,Yes,NSW,https://www.grays.com/lot/0150-5062196/motor-vehicles-motor-cycles/2008-nissan-patrol-y61-commercial-4wd-manual-ute,"Comment: ABS Brakes, Driving Lights, Side Steps, Tow Bar,
Interior Damage: Upholster and trims damaged and worn; Exterior Damage: Dents and scratches",27,"$2,200",11 March 2026
2013,VOLVO,Xc90,3.2 R-Design,Wagon,Automatic,Petrol,179609,7.0,YV1CT9556D1665764,1HMZ747,11-04-2026,6,3.2,Silver,Black Leather,Yes,Yes,Yes,Partial,Yes,WA,https://www.grays.com/lot/0001-9067455/motor-vehicles-motor-cycles/2013-volvo-xc90-3-2-r-design-automatic-7-seats-wagon,"Dents or marks on body consistent with age and kilometres.
Front Seat worn driver side
Paint fading on various panels",80,"$6,700",11 March 2026
2019,KIA,Cerato,S BD,Sedan,Automatic,Petrol,198352,5.0,KNAF241CMK5062193,1HDP082,"This vehicle licence has expired, but can be paid until 13/04/2026. The vehicle should not be driven until the licence has been renewe",4,2.0,Dark Grey,Charcoal,Yes,No,Yes,Yes,Yes,WA,https://www.grays.com/lot/0001-9067454/motor-vehicles-motor-cycles/2019-kia-cerato-s-bd-automatic-sedan,"Large Dent on Front left fender
Door card Damaged.
Dents or marks on body consistent with age and kilometres.",53,"$7,000",11 March 2026
2015,LAND,Rover,Discovery Sport Si4 SE,Wagon,Automatic,Petrol,117153,5.0,SALCA2AG4GH575417,1EZN141,10/03/2026,4,2.0,Silver,Black Leather,Yes,Yes,Yes,No,Yes,WA,https://www.grays.com/lot/0001-9067453/motor-vehicles-motor-cycles/2015-land-rover-discovery-sport-si4-se-automatic-wagon,"Paint fading Bonnet and roof
Seat Torn Driver
Dents or marks on body consistent with age and kilometres.",149,"$12,700",11 March 2026
2006,FORD,Falcon,RTV BF,Ute,Automatic,Lpg,216314,2.0,6FPAAAJGCM6P28893,1CPO770,19/03/2026,6,4.0,White,Grey,Yes,No,Yes,Partial,Yes,WA,https://www.grays.com/lot/0001-9067452/motor-vehicles-motor-cycles/2006-ford-falcon-rtv-bf-automatic-ute,"Damaged Both taillights
Dents or marks on body consistent with age and kilometres.",36,"$2,909",11 March 2026
2009,SUBARU,Tribeca,3.6R B9,Wagon,Automatic,Petrol,194328,7.0,4S4WXFKU59S026305,BKZ73D,27-08-2026,6,3.6,Black,Grey,Yes,Yes,No,Partial,Yes,NSW,https://www.grays.com/lot/0001-10352982/motor-vehicles-motor-cycles/2009-subaru-tribeca-3-6r-b9-automatic-7-seats-wagon,"Front and rear Cracked bumper.
Large Dent on Driver side rear quarter panel
Medium Dent on Bonnet, passenger side rear quarter panel
Windscreen Chipped or Cracked.
Damaged Tail lights
Medium Scratch on Numerous locations
Corrosion visible Rear section of roof, driver side rear door frame
Damaged Driver side rear bar reflector
Seat Torn Drivers seat
Other Warning light ON
Driveline requires attention, recommend inspection by qualified third party",18,"$1,009",16 March 2026
2000,NISSAN,Patrol,ST 3.0 GU II,Wagon,Manual,Diesel,307993,7.0,JN1TESY61A0300565,Unlicensed,Unregistered,4,3.0,Blue,Tan,Yes,No,No,No,Yes,WA,https://www.grays.com/lot/0001-9067448/motor-vehicles-motor-cycles/2000-nissan-patrol-st-3-0-gu-ii-turbo-diesel-manual-7-seats-wagon,"Medium Scratch on Various panels
Paint fading Primer on roof
Damaged Rear left tail light, both different taillights
Dents or marks on body consistent with age and kilometres.",22,"$1,409",11 March 2026
2008,MITSUBISHI,Lancer,ES CJ,Sedan,Manual,Petrol,209674,5.0,JMFSNCY4A8U004452,Unlicensed,Unregistered,4,2.0,Light Blue,Charcoal,Yes,No,No,No,Yes,WA,https://www.grays.com/lot/0001-9067446/motor-vehicles-motor-cycles/2008-mitsubishi-lancer-es-cj-manual-sedan,"ABS light ON
Medium Scuff on Rear bumper
Paint peeling Various panels
Other Warning light ON",14,$909,11 March 2026
2009,HOLDEN,Captiva,SX AWD CG,Wagon,Automatic,Petrol,267507,7.0,KL3CD26GJ9B527957,Unlicensed,Unregistered,6,3.2,Maroon,Charcoal,Yes,No,No,No,Yes,WA,https://www.grays.com/lot/0001-9067439/motor-vehicles-motor-cycles/2009-holden-captiva-sx-awd-cg-automatic-7-seats-wagon,"Dents or marks on body consistent with age and kilometres.
Engine light ON
Front Seat Marks Both
Back Seat Marks.
Seat Torn Drivers
Damaged Rear passenger
Large Scratch on Roof
Large Dent on Bonnet
Airbag light ON",9,$600,11 March 2026
2004,HOLDEN,Commodore,Executive VY,Wagon,Automatic,Petrol,219889,5.0,6G1YK82A24L276326,Unlicensed,Unregistered,6,3.8,White,Charcoal,Yes,No,No,No,Yes,WA,https://www.grays.com/lot/0001-9067437/motor-vehicles-motor-cycles/2004-holden-commodore-executive-vy-automatic-wagon,"Dents or marks on body consistent with age and kilometres.
Medium Dent on Front drivers quarter panel",13,$709,11 March 2026
2005,JEEP,Grand,Cherokee Laredo WH,Wagon,Automatic,Diesel,188081,5.0,1J8HD48M15Y569303,Unlicensed,Unregistered,6,3.0,Grey,Grey,Yes,No,No,No,Yes,WA,https://www.grays.com/lot/0001-9067436/motor-vehicles-motor-cycles/2005-jeep-grand-cherokee-laredo-wh-turbo-diesel-automatic-wagon,"Dents or marks on body consistent with age and kilometres.
Paint peeling Various locations
Flat Battery. Jump start or towing required
Front Seat worn Both
Medium Dent on various panels",13,"$1,200",11 March 2026
2003,MITSUBISHI,Lancer,GLI 1.8 CE,Coupe,Manual,Petrol,334731,5.0,JMFDNCJ5A3U004221,Unlicensed,Unregistered,4,1.8,White,Charcoal,Yes,No,No,No,Yes,WA,https://www.grays.com/lot/0001-9067434/motor-vehicles-motor-cycles/2003-mitsubishi-lancer-gli-1-8-ce-manual-coupe,"Dents or marks on body consistent with age and kilometres.
Medium Scuff on Front bumper
Medium Dent on Above drivers door
Body/panel damage Rear bumper damaged and screwed in
Medium Scuff on Rear passenger side
Large Dent on Passenger door
Medium Scratch on various panels
Paint peeling on various panels
Door card Damaged.
rear bumper Cracked bumper.",11,$509,11 March 2026
2008,HOLDEN,Commodore,Lumina VE,Sedan,Automatic,Petrol,301959,5.0,6G1EK55B59L222886,Unlicensed,Unregistered,6,3.6,Dark Blue,Black,Yes,No,No,No,Yes,WA,https://www.grays.com/lot/0001-9067433/motor-vehicles-motor-cycles/2008-holden-commodore-lumina-ve-automatic-sedan,"Airbag light ON
Door card Worn.
Seat Torn Both front
Large Dent on Various panels
Door Mirror Broken Passenger",10,$509,11 March 2026
2011,MAZDA,Cx-7,CLASSIC SPORTS,Wagon,Automatic,Petrol,310978,5.0,JM0ER103200227863,Unlicensed,Unregistered,4,2.3,Black,Charcoal,Yes,No,No,No,Yes,WA,https://www.grays.com/lot/0001-9067432/motor-vehicles-motor-cycles/2011-mazda-cx-7-classic-sports-automatic-wagon,"Other Warning light ON
Engine light ON
Dents or marks on body consistent with age and kilometres.
Paint fading Various locations
Medium Scuff on Front bumper
Medium Dent on Drivers door
Rear Cracked bumper.
Airbag light ON",8,$409,11 March 2026
2014,BMW,320d,320d F30,Sedan,Automatic,Diesel,160690,5.0,WBA3D36000NS45794,1GSU315,05-02-2027,4,2.0,White,Black Leather,Yes,No,No,Partial,Yes,WA,https://www.grays.com/lot/0001-9067429/motor-vehicles-motor-cycles/2014-bmw-320d-320d-f30-turbo-diesel-automatic-8-speed-sedan,"Dents or marks on body consistent with age and kilometres.
Front Seat worn Drivers
Medium Scuff on Front bumper",45,"$10,000",11 March 2026
2011,HYUNDAI,I45,Premium YF,Sedan,Automatic,Petrol,136547,5.0,KMHEC41DMCA384494,1ECD704,03-06-2026,4,2.4,Red,Black Leather,Yes,No,Yes,Partial,Yes,WA,https://www.grays.com/lot/0001-9067426/motor-vehicles-motor-cycles/2011-hyundai-i45-premium-yf-automatic-sedan,"Seat Torn Driver
Paint peeling Front bumper
Medium Scratch on Boot
Dents or marks on body consistent with age and kilometres.",77,"$5,309",11 March 2026
2008,HOLDEN,Commodore,Omega VE,Ute,Automatic,Petrol,275628,2.0,6G1EK42B19L180828,1CXT315,25-06-2026,6,3.6,White,Charcoal,Yes,No,No,No,Yes,WA,https://www.grays.com/lot/0001-9067424/motor-vehicles-motor-cycles/2008-holden-commodore-omega-ve-automatic-ute,"Dents or marks on body consistent with age and kilometres.
Medium Dent on Rear left on tub
Door card Worn.
Paint cracked rear panel",37,"$3,500",11 March 2026
2007,VOLKSWAGEN,Passat,2.0 TFSI 3C,Sedan,Automatic,Petrol,197202,5.0,WVWZZZ3CZ7P145833,1DYC299,12/03/2026,4,2.0,Silver,Black Leather,Yes,Yes,No,Partial,Yes,WA,https://www.grays.com/lot/0001-9067423/motor-vehicles-motor-cycles/2007-volkswagen-passat-2-0-tfsi-3c-automatic-sedan,"Engine idling rough
Brakes require attention, Recommend towing on collection
Transmission Requires attention Strongly recommend inspection by qualified third party
Hood Lining Sagging
Paint peeling Bonnet
Other Warning light ON
Dents or marks on body consistent with age and kilometres.
Medium Scratch on various panels",7,$500,11 March 2026
2014,KIA,Cerato,KOUP TURBO YD,Coupe,Automatic,Petrol,160860,5.0,KNAFZ613MF5255683,1EPB608,30-03-2026,4,1.6,White,Black Leather,Yes,Yes,Yes,Partial,Yes,WA,https://www.grays.com/lot/0001-9067419/motor-vehicles-motor-cycles/2014-kia-cerato-koup-turbo-yd-automatic-coupe,"Dents or marks on body consistent with age and kilometres.
Engine light ON
Front Seat worn Drivers seat",54,"$3,609",11 March 2026
2014,TOYOTA,Hilux,4x4 SR KUN26R,Crew Cab Chassis,Automatic,Diesel,243659,5.0,MR0FZ22G901086619,1IAD831,19-03-2026,4,3.0,White,Charcoal,Yes,Yes,Yes,Partial,Yes,WA,https://www.grays.com/lot/0001-9067417/motor-vehicles-motor-cycles/2014-toyota-hilux-4x4-sr-kun26r-turbo-diesel-automatic-crew-cab-chassis,"Dents or marks on body consistent with age and kilometres.
Paint fading Various panels
Corrosion visible Roof",136,"$11,100",11 March 2026
2012,MINI,Cooper,Paceman S R61,Coupe,Automatic,Petrol,131448,4.0,WMWSS52090WN47923,1GZZ188,26-03-2026,4,1.6,Grey,Black Leather,Yes,Yes,Yes,Partial,Yes,WA,https://www.grays.com/lot/0001-9067416/motor-vehicles-motor-cycles/2012-mini-cooper-paceman-s-r61-automatic-coupe,"Dents or marks on body consistent with age and kilometres.
Engine Smoke visible",106,"$8,700",11 March 2026
2006,CHRYSLER,Pt,Cruiser Special Edition,Hatchback,Automatic,Petrol,77443,5.0,1A8F4B8B07T552521,B1013,01-07-2026,4,2.4,Blue,Grey,Yes,Yes,Yes,Partial,Yes,WA,https://www.grays.com/lot/0001-9067412/motor-vehicles-motor-cycles/2006-chrysler-pt-cruiser-special-edition-automatic-hatchback,"Paint peeling both bumpers
Damaged left headlight
Paint cracked rear bumper bar
Dents or marks on body consistent with age and kilometres.",41,"$2,509",11 March 2026
2015,MAZDA,Cx-9,GRAND TOURING AWD,Wagon,Automatic,Petrol,158078,7.0,JM0TB10A5F0430257,1HYJ088,12-09-2026,6,3.7,Grey,Black Leather,Yes,Yes,No,No,Yes,WA,https://www.grays.com/lot/0001-9067411/motor-vehicles-motor-cycles/2015-mazda-cx-9-grand-touring-awd-automatic-7-seats-wagon,"Dents or marks on body consistent with age and kilometres.
Engine light ON
Cooling system requires attention
Front Seat worn Both
Medium Scuff on Rear bumper
Rear Cracked bumper.
Damaged Rear passenger side",45,"$3,200",11 March 2026
2010,SUBARU,Forester,2.0D Premium S3,Wagon,Manual,Diesel,264614,5.0,JF2SHHKZ3AG047181,1DJL938,20-03-2026,4,2.0,Champagne,Black Leather,Yes,No,Yes,Partial,Yes,WA,https://www.grays.com/lot/0001-9067410/motor-vehicles-motor-cycles/2010-subaru-forester-2-0d-premium-s3-turbo-diesel-manual-wagon,"Dents or marks on body consistent with age and kilometres.
Paint fading Various panels
Traction control light ON
Engine light ON
Other Warning light ON
Paint peeling various panels",25,"$1,625",11 March 2026
2006,MAZDA,3,Maxx Sport BK,Sedan,Manual,Petrol,113005,5.0,JM0BK10F200303837,1CJQ091,Unregistered,4,2.0,Silver,Charcoal,Yes,No,Yes,Partial,Yes,WA,https://www.grays.com/lot/0001-9067409/motor-vehicles-motor-cycles/2006-mazda-3-maxx-sport-bk-manual-sedan,"Dents or marks on body consistent with age and kilometres.
Engine light on
Engine rattles accasionally
Paint fading Various panels
Paint cracked Front bumper
Corrosion visible Right side doors
Damaged cracked light",41,"$2,009",11 March 2026
2012,PEUGEOT,208,ALLURE SPORT,Hatchback,Manual,Petrol,150955,5.0,VF3CA5FV8CW099707,N039,13-03-2026,4,1.6,Silver,Black Leather,Yes,No,Yes,Partial,Yes,WA,https://www.grays.com/lot/0001-9067404/motor-vehicles-motor-cycles/2012-peugeot-208-allure-sport-manual-hatchback,Dents or marks on body consistent with age and kilometres.,18,"$1,309",10 March 2026
2015,FORD,Focus,Trend LW II,Sedan,Automatic,Petrol,114972,5.0,MPB2XXMXB2FC09440,1IWC327,21-12-2026,4,2.0,Blue,Charcoal,Yes,Yes,Yes,Partial,Yes,WA,https://www.grays.com/lot/0001-9067398/motor-vehicles-motor-cycles/2015-ford-focus-trend-lw-ii-automatic-sedan,Dents or marks on body consistent with age and kilometres.,55,"$4,209",10 March 2026
2016,KIA,Optima,Si JF,Sedan,Automatic,Petrol,121659,5.0,KNAGU413MH5133212,1GPQ740,09-06-2026,4,2.4,White,Charcoal,Yes,Yes,Yes,Partial,Yes,WA,https://www.grays.com/lot/0001-9067397/motor-vehicles-motor-cycles/2016-kia-optima-si-jf-automatic-sedan,"Dents or marks on body consistent with age and kilometres.
Medium Scuff on Front bumper
Other Warning light ON",63,"$6,800",10 March 2026
2003,NISSAN,Patrol,ST 3.0 GU II,Wagon,Automatic,Diesel,412121,7.0,JN1TESY61A0349972,1CKE024,13-05-2026,4,3.0,Bronze,Beige Leather,Yes,Yes,No,Partial,Yes,WA,https://www.grays.com/lot/0001-9067396/motor-vehicles-motor-cycles/2003-nissan-patrol-st-3-0-gu-ii-turbo-diesel-automatic-7-seats-wagon,"Engine overheating, tow advisable.
Engine light ON
Front Seat worn Driver
Paint peeling Bonnet scoop and fender flares.",64,"$3,609",10 March 2026
2012,HOLDEN,Ute,SV6 THUNDER LE VE II,Ute,Automatic,Petrol,176248,2.0,6G1EK4E31CL641148,1DZB801,Unregistered,6,3.6,Black,Black,Yes,No,No,No,Yes,WA,https://www.grays.com/lot/0001-9067405/motor-vehicles-motor-cycles/2012-holden-ute-sv6-thunder-le-ve-ii-automatic-ute,"Dents or marks on body consistent with age and kilometres.
Paint fading Various Panels
Front Driver Side Disjointed Cracked bumper.
Damaged Passenger Rear Brakelight
Medium Scratch on various panels",148,"$8,709",11 March 2026
2016,AUDI,Q2,Sport 2.0 TDI Quattro GA,Wagon,Automatic,Diesel,108254,5.0,WAUZZZGA6HA009952,1GFQ709,Unregistered,4,2.0,Blue,Black Leather,Yes,No,Yes,No,Yes,WA,https://www.grays.com/lot/0001-9067403/motor-vehicles-motor-cycles/2016-audi-q2-sport-2-0-tdi-quattro-ga-turbo-diesel-automatic-wagon,"Dents or marks on body consistent with age and kilometres.
Engine overheating, tow advisable.
Transmission Requires attention Strongly recommend inspection by qualified third party",86,"$7,450",11 March 2026
2011,NISSAN,Patrol,ST-S 3.0 GU II,Wagon,Automatic,Diesel,200136,7.0,JN1TESY61A0412965,1IVY363,19-10-2026,4,3.0,Champagne,Grey,Yes,Yes,Yes,Partial,Yes,WA,https://www.grays.com/lot/0001-9067402/motor-vehicles-motor-cycles/2011-nissan-patrol-st-s-3-0-gu-ii-turbo-diesel-automatic-7-seats-wagon,"Dents or marks on body consistent with age and kilometres.
Engine light ON",123,"$12,100",11 March 2026
2016,TOYOTA,Landcruiser,Workmate VDJ79R T D Crew,Cab Chassis,Manual,Diesel,121940,5.0,JTEBV71J607006933,Unlicensed,Unregistered,8,4.5,White,Grey,Yes,No,No,No,Yes,WA,https://www.grays.com/lot/0001-9067401/motor-vehicles-motor-cycles/2016-toyota-landcruiser-workmate-vdj79r-t-d-manual-crew-cab-chassis,"Seat Torn Driver
Seat Torn Driver",144,"$34,500",11 March 2026
2013,FORD,Kuga,AWD Titanium TF,Wagon,Automatic,Diesel,169524,5.0,WF0AXXWPMADC43079,1IUL937,Unregistered,4,2.0,Grey,Black Leather,Yes,Yes,Yes,No,Yes,WA,https://www.grays.com/lot/0001-9067391/motor-vehicles-motor-cycles/2013-ford-kuga-awd-titanium-tf-turbo-diesel-automatic-wagon,"Dents or marks on body consistent with age and kilometres.
Transfer case requires attention Strongly recommend inspection by qualified third party",76,"$4,500",11 March 2026
2015,HOLDEN,Malibu,CDX EM,Sedan,Automatic,Petrol,301575,5.0,KL3GA69U9FB060178,1HJB299,23/03/2026,4,2.4,Dark Grey,Black Leather,Yes,No,Yes,No,Yes,WA,https://www.grays.com/lot/0001-9067395/motor-vehicles-motor-cycles/2015-holden-malibu-cdx-em-automatic-sedan,"Engine light ON
Rear Cracked bumper.
Engine Oil Leak",8,$800,10 March 2026
2010,HYUNDAI,I30,SX FD,Hatchback,Automatic,Petrol,138217,5.0,KMHDB51EMBU272418,1DHX588,08-05-2026,4,2.0,Silver,Grey,Yes,No,Yes,Partial,Yes,WA,https://www.grays.com/lot/0001-9067393/motor-vehicles-motor-cycles/2010-hyundai-i30-sx-fd-automatic-hatchback,"Engine Oil Leak
Dents or marks on body consistent with age and kilometres.",63,"$4,809",10 March 2026
2010,HOLDEN,Caprice,WM II,Sedan,Automatic,Petrol,214439,5.0,6G1MY5EV2BL518815,1IUU267,31/03/2026,6,3.6,White,Black Leather,Yes,No,No,No,Yes,WA,https://www.grays.com/lot/0001-9067390/motor-vehicles-motor-cycles/2010-holden-caprice-wm-ii-automatic-sedan,"Dents or marks on body consistent with age and kilometres.
Seat Torn Front passenger seat
Front Seat worn Drivers seat",70,"$4,700",10 March 2026
2018,JAGUAR,E-pace,183kW S 9,Wagon,Automatic,Petrol,87292,5.0,SADFA2AXXJ1Z30650,1GRP296,01-07-2026,4,2.0,White,Black Leather,Yes,Yes,No,No,Yes,WA,https://www.grays.com/lot/0001-9067389/motor-vehicles-motor-cycles/2018-jaguar-e-pace-183kw-s-9-auto-wagon,"Dents or marks on body consistent with age and kilometres.
Other Warning light ON",167,"$13,800",10 March 2026
2011,BMW,X1,sDrive 18i E84,Wagon,Automatic,Petrol,126794,5.0,WBAVL32060VP89721,Unlicensed,Unregistered,4,2.0,Black,Black Leather,Yes,No,No,No,Yes,WA,https://www.grays.com/lot/0001-9067384/motor-vehicles-motor-cycles/2011-bmw-x1-sdrive-18i-e84-automatic-wagon,"Engine light ON
Medium Scuff on Rear bumper and rear left door
Other Warning light ON
Dents or marks on body consistent with age and kilometres.
Medium Scratch on various panels",38,"$2,900",10 March 2026
2008,HYUNDAI,I30,SX FD,Hatchback,Automatic,Petrol,156669,5.0,KMHDB51ER9U153273,Unlicensed,Unregistered,4,2.0,White,Charcoal,Yes,No,No,No,Yes,WA,https://www.grays.com/lot/0001-9067383/motor-vehicles-motor-cycles/2008-hyundai-i30-sx-fd-automatic-hatchback,"Dents or marks on body consistent with age and kilometres.
Medium Dent on Various panels
Paint fading Various panels
Engine noise observed.
Damaged LH Headlight
Medium Scratch on various panels",26,"$2,100",10 March 2026
2008,HOLDEN,Commodore,Omega VE,Sedan,Automatic,Petrol,332549,5.0,6G1EK55749L310159,Unlicensed,Unregistered,6,3.6,White,Black Leather,Yes,No,No,No,Yes,WA,https://www.grays.com/lot/0001-9067382/motor-vehicles-motor-cycles/2008-holden-commodore-omega-ve-automatic-sedan,"Medium Dent on Front left quater panel
ABS light ON
Traction control light ON
Engine Smoke visible
Medium Scratch on various panels
Door card Worn.
Paint peeling on various panels
Issue with front left window
Rear right window door trim damaged",15,"$1,056",10 March 2026
2008,HOLDEN,Captiva,LX AWD CG,Wagon,Automatic,Petrol,273266,7.0,KL3CD26GJ8H310186,Unlicensed,Unregistered,6,3.2,Gold,Black Leather,Yes,No,No,No,Yes,WA,https://www.grays.com/lot/0001-9067377/motor-vehicles-motor-cycles/2008-holden-captiva-lx-awd-cg-automatic-7-seats-wagon,"Engine noise observed.
Dents or marks on body consistent with age and kilometres.
Windscreen Chipped or Cracked.
Front Seat worn Both
Medium Dent on Rear drivers door
Medium Scratch on Rear drivers side
Medium Dent on Front passenger panel
Medium Dent on Bonnet
Engine light ON
Airbag light ON
Paint fading spoiler",8,$500,10 March 2026
2014,TOYOTA,Hilux,4X4 SR5 KUN26R Dual,Dual Cab,Manual,Diesel,206540,5.0,MR0FZ29G201747767,Unlicensed - Plates to be removed,Unregistered,4,3.0,White,Charcoal,Yes,No,No,No,Yes,WA,https://www.grays.com/lot/0001-9067375/motor-vehicles-motor-cycles/2014-toyota-hilux-4x4-sr5-kun26r-turbo-diesel-manual-dual-cab,"Dents or marks on body consistent with age and kilometres.
Medium Dent on Various panels
Medium Scratch on Various panels
Engine light ON
Other Warning light ON",69,"$10,300",10 March 2026
2007,LAND,Rover,Range Rover Sport Supercharged,Wagon,Automatic,Petrol,206990,5.0,SALLSAA338A154722,Unlicensed,Unregistered,8,4.2,Black,Black Leather,Yes,No,No,No,Yes,WA,https://www.grays.com/lot/0001-9067373/motor-vehicles-motor-cycles/2007-land-rover-range-rover-sport-supercharged-automatic-wagon,"Dents or marks on body consistent with age and kilometres.
Medium Scratch on Various panels
Windscreen Chipped or Cracked.
Paint fading Various panels
Front Seat worn driver side
Paint cracked Front bumper",69,"$6,450",10 March 2026
2007,HOLDEN,Ute,Omega VE,Ute,Automatic,Petrol,290512,2.0,6G1EK42B28L129112,Unlicensed,Unregistered,6,3.6,White,Grey,Yes,No,No,No,Yes,WA,https://www.grays.com/lot/0001-9067372/motor-vehicles-motor-cycles/2007-holden-ute-omega-ve-automatic-ute,"Engine light ON
Door card Damaged.
Large Dent on Front left fender
Large Scuff on Various on tub.
Dents or marks on body consistent with age and kilometres.
Front Seat worn both",14,$900,10 March 2026
