canonical_defect,category,vehicle_class,pricing_method,default_estimate,low_estimate,high_estimate,confidence,evidence_source,evidence_date,supplier,vehicle_specific,labour_required,notes
generic_damage,cosmetic,small_hatch,repair_quote,500,250,885,low,Bridge Road Body Works Melbourne repair cost guide https://www.bridgeroadbodyworks.com.au/how-much-does-scratch-and-dent-repair-cost-in-melbourne/,2026-06-27,Bridge Road Body Works,no,yes,Generic cosmetic damage baseline only. Melbourne guide starts minor scratches/dings around $250 and moderate dents requiring repaint around $885.
paint_damage,cosmetic,small_hatch,repair_quote,800,450,1200,medium,Capital SMART car spray painting pricing https://capitalsmart.com.au/car-spray-painting-process-pricing-what-to-expect/; DingGo paint repair cost https://www.dinggo.com.au/blog/car-paint-repair-cost,2026-06-27,Capital SMART / DingGo,no,yes,Single-panel paint baseline. Capital SMART gives single panel $450-$1200; DingGo gives door localised/blended ranges that overlap.
paint_surface_issue,cosmetic,small_hatch,repair_quote,350,160,500,low,DingGo paint repair cost https://www.dinggo.com.au/blog/car-paint-repair-cost; Beta Panels paint repair costs https://betapanels.com.au/car-paint-repair-costs-in-australia-what-to-expect/,2026-06-27,DingGo / Beta Panels,no,yes,Localised paint surface issue baseline; broad paint damage should use paint_damage row or supplier quote.
cosmetic_surface_damage,cosmetic,small_hatch,repair_quote,450,400,500,high,Gmail quote reply thread 19f04eb7c2d262dd / message 19f0b76943dec18e,2026-06-28,Mobile Car Scratch Repair,no,yes,Direct supplier quote for minor panel dent/scuff/scratch repair: single panel $450-$500; three-panel bundle $400 per panel; photos needed for exact quote.
seat_damage,interior,small_hatch,repair_quote,500,400,700,high,Gmail quote reply thread 19f04ebabb04092b / messages 19f05e1b5ac32d6c and 1a04617a643ae9c9,2026-08-28,A Grade Upholstery,no,yes,Direct supplier quote for ordinary cloth front seat bolster wear: base outside bolster $400-$500; with backrest outside bolster roughly $550-$700. A Grade confirmed on 2026-08-28 that this guide is a fair assumption for this ordinary vehicle class when the seat uses the same bolster-panel and foam work; higher-end European sedans need about 30% extra.
seat_damage,interior,small_sedan,repair_quote,500,400,700,high,Gmail quote reply thread 19f04ebabb04092b / messages 19f05e1b5ac32d6c and 1a04617a643ae9c9,2026-08-28,A Grade Upholstery,no,yes,Direct supplier quote for ordinary cloth front seat bolster wear: base outside bolster $400-$500; with backrest outside bolster roughly $550-$700. A Grade confirmed on 2026-08-28 that this guide is a fair assumption for this ordinary vehicle class when the seat uses the same bolster-panel and foam work; higher-end European sedans need about 30% extra.
seat_damage,interior,medium_suv,repair_quote,500,400,700,high,Gmail quote reply thread 19f04ebabb04092b / messages 19f05e1b5ac32d6c and 1a04617a643ae9c9,2026-08-28,A Grade Upholstery,no,yes,Direct supplier quote for ordinary cloth front seat bolster wear: base outside bolster $400-$500; with backrest outside bolster roughly $550-$700. A Grade confirmed on 2026-08-28 that this guide is a fair assumption for this ordinary vehicle class when the seat uses the same bolster-panel and foam work; higher-end European sedans need about 30% extra.
seat_damage,interior,ute,repair_quote,500,400,700,high,Gmail quote reply thread 19f04ebabb04092b / messages 19f05e1b5ac32d6c and 1a04617a643ae9c9,2026-08-28,A Grade Upholstery,no,yes,Direct supplier quote for ordinary cloth front seat bolster wear: base outside bolster $400-$500; with backrest outside bolster roughly $550-$700. A Grade confirmed on 2026-08-28 that this guide is a fair assumption for this ordinary vehicle class when the seat uses the same bolster-panel and foam work; higher-end European sedans need about 30% extra.
seat_damage,interior,van,repair_quote,500,400,700,high,Gmail quote reply thread 19f04ebabb04092b / messages 19f05e1b5ac32d6c and 1a04617a643ae9c9,2026-08-28,A Grade Upholstery,no,yes,Direct supplier quote for ordinary cloth front seat bolster wear: base outside bolster $400-$500; with backrest outside bolster roughly $550-$700. A Grade confirmed on 2026-08-28 that this guide is a fair assumption for this ordinary vehicle class when the seat uses the same bolster-panel and foam work; higher-end European sedans need about 30% extra.
corrosion_damage,cosmetic,small_hatch,repair_quote,1200,1000,3000,high,Gmail quote reply thread 19f1d5cfd492eb65 / message 19f21bf857e892ae,2026-07-02,On Demand Auto Care,no,yes,"Direct supplier quote for 2016 Corolla rust/corrosion baseline: common surface rust through floorpan/chassis or panel/sill surface rust about $1,000-$1,200 inc GST; heavy underbody corrosion or cuts/welds/paint roughly $2,000-$3,000."
window_tint_damage,glass,generic,repair_quote,350,150,650,medium,RACV tinting guide https://www.racv.com.au/royalauto/transport/cars/car-window-tint-cost-types-rules.html; AutoGuru tint removal https://www.autoguru.com.au/repairs/window-tint-removal; RACQ tint price table https://www.racq.com.au/car/car-window-tinting,2026-07-03,RACV / AutoGuru / RACQ,no,yes,"Public baseline for bubbling/peeling tint removal and replacement. RACV says tinting starts from about $200 and a single window around $70; AutoGuru says tint removal starts around $80 and can exceed $250; RACQ hatchback tint prices are about $380-$495 depending on film. Default assumes partial remove/replace on rear/side glass, not premium full-car ceramic tint."
sunroof_damage,replacement,small_hatch,parts_plus_labour,800,300,1500,low,AutoGuru sunroof repair https://www.autoguru.com.au/repairs/sunroof-repair; Winaffix sunroof repair cost guide https://winaffix.com/sunroof-repair-cost-guide/; Autoglass Warehouse sunroof parts https://www.autoglasswarehouse.com.au/part-finder/sunroof-moonroof/,2026-07-03,AutoGuru / Winaffix / Autoglass Warehouse,yes,yes,"Public baseline only. AutoGuru describes sunroof repairs as low-to-high hundreds depending on fault/parts and higher if removed from vehicle; Winaffix gives full replacement around $800-$1,500; Autoglass Warehouse lists replacement sunroof glass/parts from the high hundreds. Supplier quote still preferred because motor, track, drain, glass, and full assembly faults price very differently."
hail_damage,structural,small_hatch,repair_quote,1000,500,10000,medium,DingGo hail damage cost https://www.dinggo.com.au/blog/how-much-does-hail-damage-repair-cost; Hail Dent Repair cost guide https://haildentrepair.com.au/hail-dent-repair-cost/; Bridge Road Body Works hail damage guide https://www.bridgeroadbodyworks.com.au/how-much-does-hail-damage-repair-cost/,2026-07-03,DingGo / Hail Dent Repair / Bridge Road Body Works,no,yes,"Public baseline for auction hail damage. DingGo estimates contained hail repairs around $500-$1,000; Hail Dent Repair says first standard dents often price around $80-$130 each before quantity/complexity adjustments; Bridge Road Body Works notes severe multi-panel/window hail damage can reach about $10,000 and may make the car uneconomical. Default assumes contained/light-to-moderate PDR rather than severe write-off-level hail."
panel_alignment_damage,cosmetic,small_hatch,repair_quote,450,150,1000,low,DingGo panel beater cost https://www.dinggo.com.au/blog/panel-beater-costs-explained; Panelbeaters bumper repair guide https://panelbeaters.net.au/blogs/how-much-does-panel-beating-cost-in-perth; Sheen Group Melbourne panel beating guide https://www.sheengroup.com.au/resources/how-exactly-are-panel-beater-quotes-calculated,2026-07-03,DingGo / Panelbeaters / Sheen Group,no,yes,"Public baseline for misaligned bumper/panel/door/bonnet/boot adjustment or minor correction. DingGo lists Melbourne panel beating averages around $500-$700; Panelbeaters gives minor bumper repairs about $100-$250 and moderate $300-$500; Sheen Group gives Melbourne small dents/scratches around $300-$1,000. Default assumes adjustment/minor repair without repaint or hidden bracket damage."
panel_damage,cosmetic,small_hatch,repair_quote,750,300,3000,medium,Sheen Group Melbourne panel beating guide https://www.sheengroup.com.au/resources/how-exactly-are-panel-beater-quotes-calculated; DingGo panel beater cost https://www.dinggo.com.au/blog/panel-beater-costs-explained; Airtasker panel beating cost https://www.airtasker.com/au/costs/panel-beater/panel-beating-cost/,2026-07-03,Sheen Group / DingGo / Airtasker,no,yes,"Public baseline for general body/panel damage or prior poor repair correction. Sheen Group gives Melbourne small dents/scratches around $300-$1,000, moderate smash repairs $1,500-$3,000, and extensive work higher; DingGo says Melbourne panel beating averages around $500-$700; Airtasker lists a broad $500-$1,000 task range. Default assumes common cosmetic panel repair, not major structural smash repair."
headlining_sagging,interior,small_hatch,repair_quote,490,465,515,high,Gmail thread 19f6dc8872ec640f / message 19f737714366be44,2026-07-18,Classic Motor Trimmers,yes,yes,"Direct supplier quote for 2016 Corolla hatch sagging headlining/roof lining repair: around $465-$515 depending on material source. Closest-match in-stock material is available, or shop visit can match/order material; car needed for the day."
carpet_torn,interior,small_hatch,repair_quote,900,900,900,medium,Gmail thread 19f8b92c06b3e15f / message 19f8c169820d70fa,2026-07-23,Classic Motor Trimmers,yes,yes,"Direct supplier quote for 2016 Toyota Corolla hatch torn carpet replacement labour: installing a new molded carpet costs around $900. Supplier said the carpet is one piece, must be sourced through Toyota, and the Toyota carpet part price is not included/unknown."
tyre_puncture,replacement,small_hatch,repair_quote,40,40,40,high,Gmail thread 19fa0b8d953ddbb5 / message 19fa0d0281028ac4,2026-07-27,Highway Tyres,yes,yes,Direct supplier quote for 2016 Toyota Corolla hatch tyre puncture repair using representative 205/55R16 fitment and no rego available: puncture repair costs $40 when safe/legal. Excludes tyre replacement if the puncture is not repairable.
bonnet_strut_damage,replacement,generic,repair_quote,226,143,308,high,Gmail thread 1a04c63af3a270d0 / message 1a04e8d2b43eca94,2026-08-30,MEDAUTO,no,yes,Direct supplier quote for a pair of bonnet gas struts across Corolla/Camry/CX-5/Hilux/HiAce: quoted total $130-$280 excluding GST and normalized to $143-$308 including GST; pricing not materially different across those vehicle classes; travel extra where mobile.
hatch_strut_damage,replacement,generic,repair_quote,237,143,330,high,Gmail thread 1a04c63af3a270d0 / message 1a04e8d2b43eca94,2026-08-30,MEDAUTO,no,yes,Direct supplier quote for a pair of hatch/tailgate gas struts across Corolla/Camry/CX-5/Hilux/HiAce: quoted total $130-$300 excluding GST and normalized to $143-$330 including GST; travel extra where mobile.
panel_alignment_damage,cosmetic,generic,repair_quote,116,77,154,medium,Gmail thread 1a04c63af3a270d0 / message 1a04e8d2b43eca94,2026-08-30,MEDAUTO,no,yes,Direct supplier labour-only quote to realign a bolt-on bumper or bonnet with no structural damage: quoted $70-$140 excluding GST and normalized to $77-$154 including GST; parts/structural repairs excluded.
service_warning_message,mechanical,generic,repair_quote,209,176,242,medium,Gmail thread 1a04c63af3a270d0 / message 1a04e8d2b43eca94,2026-08-30,MEDAUTO,no,yes,Direct supplier diagnostic/callout quote for a non-engine warning: quoted typical total $160-$220 excluding GST and normalized to $176-$242 including GST depending distance; travel basis is $1/km return.
side_window_smashed,glass,small_hatch,repair_quote,350,300,400,high,Gmail thread 1a04c64366991b6c / message 1a04ce6e893f3e2f,2026-08-29,QuickGlass,yes,yes,Direct supplier fitted driver-door glass quote for 2016 Toyota Corolla hatch; maps to smashed side-window replacement. No VIN/rego supplied; calibration or callout charges not separately quoted.
side_window_smashed,glass,small_sedan,repair_quote,350,300,400,high,Gmail thread 1a04c64366991b6c / message 1a04ce6e893f3e2f,2026-08-29,QuickGlass,yes,yes,Direct supplier fitted driver-door glass quote for 2016 Toyota Camry sedan; maps to smashed side-window replacement. No VIN/rego supplied; calibration or callout charges not separately quoted.
side_window_smashed,glass,medium_suv,repair_quote,400,350,450,high,Gmail thread 1a04c64366991b6c / message 1a04ce6e893f3e2f,2026-08-29,QuickGlass,yes,yes,Direct supplier fitted driver-door glass quote for 2016 Mazda CX-5; maps to smashed side-window replacement. No VIN/rego supplied; calibration or callout charges not separately quoted.
side_window_smashed,glass,ute,repair_quote,400,350,450,high,Gmail thread 1a04c64366991b6c / message 1a04ce6e893f3e2f,2026-08-29,QuickGlass,yes,yes,Direct supplier fitted driver-door glass quote for 2018 Toyota Hilux SR dual-cab; maps to smashed side-window replacement. No VIN/rego supplied; calibration or callout charges not separately quoted.
side_window_smashed,glass,van,repair_quote,350,300,400,high,Gmail thread 1a04c64366991b6c / message 1a04ce6e893f3e2f,2026-08-29,QuickGlass,yes,yes,Direct supplier fitted driver-door glass quote for 2017 Toyota HiAce van; maps to smashed side-window replacement. No VIN/rego supplied; calibration or callout charges not separately quoted.
seat_issue,interior,generic,repair_quote,550,440,660,medium,Gmail thread 1a04c62ce16438a3 / messages 1a05556c365276d0 and 1a05557a98a880c9,2026-08-31,Art Trim Upholstery,no,yes,"Direct supplier range for the requested driver-seat tear and collapsed foam-bolster scenarios: supplier shorthand '$4-600+gst' interpreted as $400-$600 plus GST and normalized to $440-$660 including GST. Seat shape, panels and finish can change the price."
headlining_sagging,interior,generic,repair_quote,715,550,880,medium,Gmail thread 1a04c62ce16438a3 / messages 1a05556c365276d0 and 1a05557a98a880c9,2026-08-31,Art Trim Upholstery,no,yes,Direct supplier range for standard headlining replacement: supplier shorthand '$5-800+' interpreted as $500-$800 plus GST and normalized to $550-$880 including GST. Exact price is car-specific.
paint_damage,cosmetic_panel,medium_suv,repair_quote,285,285,285,high,Aus Auto Detailing Gmail reply 1a06e8552a2d774a; https://www.ausautodetailing.com.au/our-services/spot-paint-repair.html,2026-09-05,Aus Auto Detailing,yes,yes,"2014 Land Rover Discovery passenger-side door-mirror cover peeling paint repair. Direct GST-inclusive quote includes sanding entire mirror cover, primer, paint, and clear coat. Imported from quote request RQ-0272; thread_id=1a06df2f4c2928ca."
bumper_damage,replacement,small_sedan,parts_plus_labour,170,145,197,low,Harvey Wreckers official parts price list https://www.harveywreckers.com.au/auto-parts-price-list/,2026-09-09,Harvey Wreckers + labour allowance,yes,yes,"Passenger-car bumper/fascia part range $80-$132 plus remove/refit labour. Paint, clips, sensors and calibration are excluded. Labour allowance: 1.3 h at $50/h = $65; labour-time basis: https://www.dongfeng-global.com/Upload/File/201907/5d2ee002073e5.pdf. Used-part availability, exact fitment and condition must be confirmed."
bumper_damage,replacement,medium_suv,parts_plus_labour,230,215,245,low,Harvey Wreckers official parts price list https://www.harveywreckers.com.au/auto-parts-price-list/,2026-09-09,Harvey Wreckers + labour allowance,yes,yes,"4WD/commercial bumper/fascia part range $150-$180 plus remove/refit labour. Paint, clips, sensors and calibration are excluded. Labour allowance: 1.3 h at $50/h = $65; labour-time basis: https://www.dongfeng-global.com/Upload/File/201907/5d2ee002073e5.pdf. Used-part availability, exact fitment and condition must be confirmed."
bumper_damage,replacement,ute,parts_plus_labour,230,215,245,low,Harvey Wreckers official parts price list https://www.harveywreckers.com.au/auto-parts-price-list/,2026-09-09,Harvey Wreckers + labour allowance,yes,yes,"4WD/commercial bumper/fascia part range $150-$180 plus remove/refit labour. Paint, clips, sensors and calibration are excluded. Labour allowance: 1.3 h at $50/h = $65; labour-time basis: https://www.dongfeng-global.com/Upload/File/201907/5d2ee002073e5.pdf. Used-part availability, exact fitment and condition must be confirmed."
bumper_damage,replacement,van,parts_plus_labour,230,215,245,low,Harvey Wreckers official parts price list https://www.harveywreckers.com.au/auto-parts-price-list/,2026-09-09,Harvey Wreckers + labour allowance,yes,yes,"4WD/commercial bumper/fascia part range $150-$180 plus remove/refit labour. Paint, clips, sensors and calibration are excluded. Labour allowance: 1.3 h at $50/h = $65; labour-time basis: https://www.dongfeng-global.com/Upload/File/201907/5d2ee002073e5.pdf. Used-part availability, exact fitment and condition must be confirmed."
bumper_torn,replacement,small_hatch,parts_plus_labour,170,145,197,low,Harvey Wreckers official parts price list https://www.harveywreckers.com.au/auto-parts-price-list/,2026-09-09,Harvey Wreckers + labour allowance,yes,yes,"Passenger-car bumper/fascia part range $80-$132 plus remove/refit labour. Paint, clips, sensors and calibration are excluded. Labour allowance: 1.3 h at $50/h = $65; labour-time basis: https://www.dongfeng-global.com/Upload/File/201907/5d2ee002073e5.pdf. Used-part availability, exact fitment and condition must be confirmed."
bumper_torn,replacement,small_sedan,parts_plus_labour,170,145,197,low,Harvey Wreckers official parts price list https://www.harveywreckers.com.au/auto-parts-price-list/,2026-09-09,Harvey Wreckers + labour allowance,yes,yes,"Passenger-car bumper/fascia part range $80-$132 plus remove/refit labour. Paint, clips, sensors and calibration are excluded. Labour allowance: 1.3 h at $50/h = $65; labour-time basis: https://www.dongfeng-global.com/Upload/File/201907/5d2ee002073e5.pdf. Used-part availability, exact fitment and condition must be confirmed."
bumper_torn,replacement,medium_suv,parts_plus_labour,230,215,245,low,Harvey Wreckers official parts price list https://www.harveywreckers.com.au/auto-parts-price-list/,2026-09-09,Harvey Wreckers + labour allowance,yes,yes,"4WD/commercial bumper/fascia part range $150-$180 plus remove/refit labour. Paint, clips, sensors and calibration are excluded. Labour allowance: 1.3 h at $50/h = $65; labour-time basis: https://www.dongfeng-global.com/Upload/File/201907/5d2ee002073e5.pdf. Used-part availability, exact fitment and condition must be confirmed."
bumper_torn,replacement,ute,parts_plus_labour,230,215,245,low,Harvey Wreckers official parts price list https://www.harveywreckers.com.au/auto-parts-price-list/,2026-09-09,Harvey Wreckers + labour allowance,yes,yes,"4WD/commercial bumper/fascia part range $150-$180 plus remove/refit labour. Paint, clips, sensors and calibration are excluded. Labour allowance: 1.3 h at $50/h = $65; labour-time basis: https://www.dongfeng-global.com/Upload/File/201907/5d2ee002073e5.pdf. Used-part availability, exact fitment and condition must be confirmed."
bumper_torn,replacement,van,parts_plus_labour,230,215,245,low,Harvey Wreckers official parts price list https://www.harveywreckers.com.au/auto-parts-price-list/,2026-09-09,Harvey Wreckers + labour allowance,yes,yes,"4WD/commercial bumper/fascia part range $150-$180 plus remove/refit labour. Paint, clips, sensors and calibration are excluded. Labour allowance: 1.3 h at $50/h = $65; labour-time basis: https://www.dongfeng-global.com/Upload/File/201907/5d2ee002073e5.pdf. Used-part availability, exact fitment and condition must be confirmed."
bumper_punctured_or_torn,replacement,small_hatch,parts_plus_labour,170,145,197,low,Harvey Wreckers official parts price list https://www.harveywreckers.com.au/auto-parts-price-list/,2026-09-09,Harvey Wreckers + labour allowance,yes,yes,"Passenger-car bumper/fascia part range $80-$132 plus remove/refit labour. Paint, clips, sensors and calibration are excluded. Labour allowance: 1.3 h at $50/h = $65; labour-time basis: https://www.dongfeng-global.com/Upload/File/201907/5d2ee002073e5.pdf. Used-part availability, exact fitment and condition must be confirmed."
bumper_punctured_or_torn,replacement,small_sedan,parts_plus_labour,170,145,197,low,Harvey Wreckers official parts price list https://www.harveywreckers.com.au/auto-parts-price-list/,2026-09-09,Harvey Wreckers + labour allowance,yes,yes,"Passenger-car bumper/fascia part range $80-$132 plus remove/refit labour. Paint, clips, sensors and calibration are excluded. Labour allowance: 1.3 h at $50/h = $65; labour-time basis: https://www.dongfeng-global.com/Upload/File/201907/5d2ee002073e5.pdf. Used-part availability, exact fitment and condition must be confirmed."
bumper_punctured_or_torn,replacement,medium_suv,parts_plus_labour,230,215,245,low,Harvey Wreckers official parts price list https://www.harveywreckers.com.au/auto-parts-price-list/,2026-09-09,Harvey Wreckers + labour allowance,yes,yes,"4WD/commercial bumper/fascia part range $150-$180 plus remove/refit labour. Paint, clips, sensors and calibration are excluded. Labour allowance: 1.3 h at $50/h = $65; labour-time basis: https://www.dongfeng-global.com/Upload/File/201907/5d2ee002073e5.pdf. Used-part availability, exact fitment and condition must be confirmed."
bumper_punctured_or_torn,replacement,ute,parts_plus_labour,230,215,245,low,Harvey Wreckers official parts price list https://www.harveywreckers.com.au/auto-parts-price-list/,2026-09-09,Harvey Wreckers + labour allowance,yes,yes,"4WD/commercial bumper/fascia part range $150-$180 plus remove/refit labour. Paint, clips, sensors and calibration are excluded. Labour allowance: 1.3 h at $50/h = $65; labour-time basis: https://www.dongfeng-global.com/Upload/File/201907/5d2ee002073e5.pdf. Used-part availability, exact fitment and condition must be confirmed."
bumper_punctured_or_torn,replacement,van,parts_plus_labour,230,215,245,low,Harvey Wreckers official parts price list https://www.harveywreckers.com.au/auto-parts-price-list/,2026-09-09,Harvey Wreckers + labour allowance,yes,yes,"4WD/commercial bumper/fascia part range $150-$180 plus remove/refit labour. Paint, clips, sensors and calibration are excluded. Labour allowance: 1.3 h at $50/h = $65; labour-time basis: https://www.dongfeng-global.com/Upload/File/201907/5d2ee002073e5.pdf. Used-part availability, exact fitment and condition must be confirmed."
mirror_light_damage,replacement,small_sedan,parts_plus_labour,69,60,78,low,Harvey Wreckers official parts price list https://www.harveywreckers.com.au/auto-parts-price-list/,2026-09-09,Harvey Wreckers + labour allowance,yes,yes,"Passenger-car manual/electric door-mirror part range $30-$48 plus remove/refit labour. Indicator, paint and electrical diagnosis are excluded. Labour allowance: 0.6 h at $50/h = $30; labour-time basis: https://www.dongfeng-global.com/Upload/File/201907/5d2ee002073e5.pdf. Used-part availability, exact fitment and condition must be confirmed."
mirror_light_damage,replacement,medium_suv,parts_plus_labour,91,85,96,low,Harvey Wreckers official parts price list https://www.harveywreckers.com.au/auto-parts-price-list/,2026-09-09,Harvey Wreckers + labour allowance,yes,yes,"4WD/commercial door-mirror part range $55-$66 plus remove/refit labour. Indicator, paint and electrical diagnosis are excluded. Labour allowance: 0.6 h at $50/h = $30; labour-time basis: https://www.dongfeng-global.com/Upload/File/201907/5d2ee002073e5.pdf. Used-part availability, exact fitment and condition must be confirmed."
mirror_light_damage,replacement,ute,parts_plus_labour,91,85,96,low,Harvey Wreckers official parts price list https://www.harveywreckers.com.au/auto-parts-price-list/,2026-09-09,Harvey Wreckers + labour allowance,yes,yes,"4WD/commercial door-mirror part range $55-$66 plus remove/refit labour. Indicator, paint and electrical diagnosis are excluded. Labour allowance: 0.6 h at $50/h = $30; labour-time basis: https://www.dongfeng-global.com/Upload/File/201907/5d2ee002073e5.pdf. Used-part availability, exact fitment and condition must be confirmed."
mirror_light_damage,replacement,van,parts_plus_labour,91,85,96,low,Harvey Wreckers official parts price list https://www.harveywreckers.com.au/auto-parts-price-list/,2026-09-09,Harvey Wreckers + labour allowance,yes,yes,"4WD/commercial door-mirror part range $55-$66 plus remove/refit labour. Indicator, paint and electrical diagnosis are excluded. Labour allowance: 0.6 h at $50/h = $30; labour-time basis: https://www.dongfeng-global.com/Upload/File/201907/5d2ee002073e5.pdf. Used-part availability, exact fitment and condition must be confirmed."
